parameter;path_nameSummary;datasetName;path_nameFD;start;end;dim;values
distribution;summaries\sum_datasetTestAugmentation.csv;dataset0001.csv;;;;11;-9.192645077942396;-8.192645077942396;-7.192645077942396;-6.192645077942395;-5.192645077942396;-4.192645077942396;-3.192645077942396;-2.1926450779423963;-1.1926450779423958;-0.1926450779423959;0.8073549220576041;18.97345073835374;19.092199673366043;19.492213098999837;20.470656888320107;22.039068976524064;23.90905421104922;25.874661631831245;27.866337036966495;29.863911087913735;31.86327805994179;33.86316411129969
distribution;summaries\sum_datasetTestAugmentation.csv;dataset0002.csv;;;;11;-9.192645077942396;-8.192645077942396;-7.192645077942396;-6.192645077942395;-5.192645077942396;-4.192645077942396;-3.192645077942396;-2.1926450779423963;-1.1926450779423958;-0.1926450779423959;0.8073549220576041;17.62647906397125;17.676480532193633;17.861038427524957;18.424691191512952;19.627141980410002;21.332073710011645;23.24912416110238;25.226384776369073;27.220960200781647;29.2197093726069;31.219371108725614
distribution;summaries\sum_datasetTestAugmentation.csv;dataset0003.csv;;;;11;-9.192645077942396;-8.192645077942396;-7.192645077942396;-6.192645077942395;-5.192645077942396;-4.192645077942396;-3.192645077942396;-2.1926450779423963;-1.1926450779423958;-0.1926450779423959;0.8073549220576041;18.21984916185911;18.293507572072183;18.555000965699897;19.296253051252403;20.674945659376956;22.46514288098266;24.408695003392314;26.39395867747971;28.39046898167111;30.389461456808768;32.38926386624202
distribution;summaries\sum_datasetTestAugmentation.csv;dataset0004.csv;;;;11;-9.192645077942396;-8.192645077942396;-7.192645077942396;-6.192645077942395;-5.192645077942396;-4.192645077942396;-3.192645077942396;-2.1926450779423963;-1.1926450779423958;-0.1926450779423959;0.8073549220576041;15.61447980424533;15.625765910568711;15.67656317260843;15.861910790852262;16.423641195075856;17.623567180479732;19.33019475484366;21.247255357309125;23.226245775189664;25.221327283647625;27.219817485481556








PER CAPIRE:
dim: 7
values: [1.0;1.1;1.2;1.25;1.3;2.0;2.6;1.05;1.10;1.70;2.30;2.90;2.95;2.97]
x --> 1.0, 1.1, 1.2, 1.25, 1.3, 2.0, 2.6
y --> 1.05, 1.10, 1.70, 2.30, 2.90, 2.95, 2.97

* START: k parte da 0 e arriva a dim-2 [uso solo y]
         |1.1 - 1.05| -->0.05       k=0
         |1.7 - 1.1| --> 0.6        k=1 --> Selezione utente
         |2.3 - 1.7| --> 0.6        k=2
         |2.9 - 2.3| --> 0.6        k=3
         |2.95 - 2.9| --> 0.05      k=4
         |2.97 - 2.95| --> 0.02     k=5

         Inserire in fdSupport Start = 1

* END: k parte da dim-1 e arriva a 1 [uso solo y]
         |2.97 - 2.95| --> 0.02     k=6
         |2.95 - 2.9| --> 0.05      k=5
         |2.9 - 2.3| --> 0.6        k=4 --> Selezione utente
         |2.3 - 1.7| --> 0.6        k=3
         |1.7 - 1.1| --> 0.6        k=2
         |1.1 - 1.05| -->0.05       k=1

         Inserire in fdSupport End = 4
