ID,NamePartition,NumberGeometries,FileSize,GeometryType,xMin,yMin,xMax,yMax
0,partition_0.wkt,60,12741,POLYGON,6.624792292758056,7.865726192761274,8.234884061134332,9.25818408079266
1,partition_1.wkt,2759,600325,POLYGON,5.01470052438178,7.865726192761274,6.624792292758056,9.25818408079266
2,partition_2.wkt,2626,572577,POLYGON,6.624792292758056,6.473268304729889,8.234884061134332,7.865726192761274
3,partition_3.wkt,2862,621648,POLYGON,3.4046087560055045,7.865726192761274,5.01470052438178,9.25818408079266
4,partition_4.wkt,70,15230,POLYGON,1.7945169876292286,7.865726192761274,3.4046087560055045,9.25818408079266
5,partition_5.wkt,2927,646714,POLYGON,1.7945169876292286,6.473268304729889,3.4046087560055045,7.865726192761274
6,partition_6.wkt,2706,596797,POLYGON,1.7945169876292286,5.080810416698505,3.4046087560055045,6.473268304729889
7,partition_7.wkt,49,10784,POLYGON,1.7945169876292286,3.688352528667119,3.4046087560055045,5.080810416698505
8,partition_8.wkt,2270,495004,POLYGON,3.4046087560055045,3.688352528667119,5.01470052438178,5.080810416698505
9,partition_9.wkt,2368,516264,POLYGON,6.624792292758056,5.080810416698505,8.234884061134332,6.473268304729889
10,partition_10.wkt,2128,462867,POLYGON,5.01470052438178,3.688352528667119,6.624792292758056,5.080810416698505
11,partition_11.wkt,50,10914,POLYGON,6.624792292758056,3.688352528667119,8.234884061134332,5.080810416698505
12,partition_12.wkt,6577,1430561,POLYGON,5.819746408569918,7.169497248745582,6.624792292758056,7.865726192761274
13,partition_13.wkt,22464,4890353,POLYGON,5.01470052438178,7.169497248745582,5.819746408569918,7.865726192761274
14,partition_14.wkt,71681,15602714,POLYGON,5.01470052438178,6.473268304729889,5.819746408569918,7.169497248745582
15,partition_15.wkt,21578,4697323,POLYGON,5.819746408569918,6.473268304729889,6.624792292758056,7.169497248745582
16,partition_16.wkt,22934,4989814,POLYGON,4.2096546401936425,7.169497248745582,5.01470052438178,7.865726192761274
17,partition_17.wkt,7106,1556846,POLYGON,3.4046087560055045,7.169497248745582,4.2096546401936425,7.865726192761274
18,partition_18.wkt,22700,4972325,POLYGON,3.4046087560055045,6.473268304729889,4.2096546401936425,7.169497248745582
19,partition_19.wkt,72971,15874263,POLYGON,4.2096546401936425,6.473268304729889,5.01470052438178,7.169497248745582
20,partition_20.wkt,70372,15325492,POLYGON,4.2096546401936425,5.7770393607141965,5.01470052438178,6.473268304729889
21,partition_21.wkt,21573,4734401,POLYGON,3.4046087560055045,5.7770393607141965,4.2096546401936425,6.473268304729889
22,partition_22.wkt,6205,1359978,POLYGON,3.4046087560055045,5.080810416698505,4.2096546401936425,5.7770393607141965
23,partition_23.wkt,19914,4336634,POLYGON,4.2096546401936425,5.080810416698505,5.01470052438178,5.7770393607141965
24,partition_24.wkt,20554,4474190,POLYGON,5.819746408569918,5.7770393607141965,6.624792292758056,6.473268304729889
25,partition_25.wkt,68388,14882197,POLYGON,5.01470052438178,5.7770393607141965,5.819746408569918,6.473268304729889
26,partition_26.wkt,19513,4246587,POLYGON,5.01470052438178,5.080810416698505,5.819746408569918,5.7770393607141965
27,partition_27.wkt,5840,1271469,POLYGON,5.819746408569918,5.080810416698505,6.624792292758056,5.7770393607141965
