"POLYGON ((13.335049101492492 6.102632866692299, 13.305137828897164 6.106184325066822, 13.303397751063228 6.104404272696944, 13.338429883069685 6.089227149113752, 13.335049101492492 6.102632866692299))"
"POLYGON ((12.871801394822075 6.185087174261251, 12.886209188539478 6.182100400813121, 12.895473659913423 6.186348528626041, 12.89835896006349 6.189262051828917, 12.871801394822075 6.185087174261251))"
"POLYGON ((13.068353188801662 6.307353499336331, 13.06667355868516 6.306652513864904, 13.055429132815712 6.285601642872736, 13.094810390316791 6.284595034175526, 13.068353188801662 6.307353499336331))"
"POLYGON ((13.140198348943674 6.276138436092163, 13.133490387556172 6.277602678550654, 13.112648328734448 6.2571345035082, 13.148729877465152 6.245738168088085, 13.140198348943674 6.276138436092163))"
"POLYGON ((12.824360088529225 6.275657260675096, 12.82568462029857 6.260456718823702, 12.841043599486348 6.249806005567264, 12.86341489076508 6.268653565479452, 12.824360088529225 6.275657260675096))"
"POLYGON ((12.79414704535815 6.254954373013713, 12.792485724152115 6.246625079297086, 12.813202069044612 6.2269798215012395, 12.827593450910877 6.233864657767963, 12.79414704535815 6.254954373013713))"
"POLYGON ((13.433429644069804 6.335827153263138, 13.428447507098744 6.320235199166892, 13.451661573545577 6.302757643209828, 13.459899846893082 6.306169047054209, 13.433429644069804 6.335827153263138))"
"POLYGON ((13.37804625612842 6.415429272536405, 13.343730577823031 6.4280709482106415, 13.338598753131324 6.418640380784763, 13.373632228938384 6.401562756564156, 13.37804625612842 6.415429272536405))"
"POLYGON ((13.174847769874175 6.38270695419264, 13.175089155804393 6.382821416681815, 13.180372406270287 6.386525664920763, 13.186242232975136 6.39833197155276, 13.174847769874175 6.38270695419264))"
"POLYGON ((13.202414565882897 6.125441779928998, 13.20199295666775 6.123990732845814, 13.21591186014897 6.099906439718264, 13.218048272990584 6.099422051355303, 13.202414565882897 6.125441779928998))"
"POLYGON ((13.24877487069844 6.415656604556108, 13.21502379770163 6.394257524325876, 13.247933135997508 6.391685013466431, 13.25199053680152 6.400412390630735, 13.24877487069844 6.415656604556108))"
"POLYGON ((13.18443471382678 6.271747423078781, 13.179400613150479 6.2829140547451905, 13.169636396767373 6.288851160919921, 13.160355553900844 6.249953024514081, 13.18443471382678 6.271747423078781))"
"POLYGON ((12.999956041000857 6.2359781323872845, 12.973315371466995 6.221655848623314, 12.98201872059733 6.200465428192885, 13.011957900046415 6.211438419552562, 12.999956041000857 6.2359781323872845))"
"POLYGON ((13.050796444844018 6.462309958848787, 13.035156163881657 6.425812591207023, 13.048327775759692 6.423356888658068, 13.064804242812764 6.439171860235294, 13.050796444844018 6.462309958848787))"
"POLYGON ((12.931229154901187 6.095838848720543, 12.940262781378532 6.058116698538486, 12.944068440693751 6.0584369551169095, 12.960492889477107 6.077754409103215, 12.931229154901187 6.095838848720543))"
"POLYGON ((13.05371619148692 6.331556186242319, 13.036545401380689 6.326910390350926, 13.037986510237717 6.295810123992599, 13.067878429959864 6.303367819083546, 13.05371619148692 6.331556186242319))"
"POLYGON ((13.47870208128469 6.224127760951664, 13.487770102803347 6.194127768290914, 13.49310897212942 6.192826102685766, 13.49944841838585 6.193194853857909, 13.47870208128469 6.224127760951664))"
"POLYGON ((12.981943705961118 6.154677814684124, 12.96292666669037 6.159980178964193, 12.976014330682121 6.1223550905909905, 12.986585468034297 6.133811233001177, 12.981943705961118 6.154677814684124))"
"POLYGON ((13.299179038390491 6.174120124455766, 13.260224325360353 6.171938636359832, 13.280411965460681 6.148632249466948, 13.29540484891776 6.155934639353235, 13.299179038390491 6.174120124455766))"
"POLYGON ((13.190813236564038 6.077954297080455, 13.184028079431691 6.0864470506506345, 13.156671070444178 6.082561239958928, 13.184180159812104 6.054036439986121, 13.190813236564038 6.077954297080455))"
"POLYGON ((12.98822673877409 6.216647685694339, 12.964285388126395 6.233901243291398, 12.950992039394524 6.204408267235793, 12.984574453602951 6.202609143164703, 12.98822673877409 6.216647685694339))"
"POLYGON ((12.936382292049878 6.193089691235976, 12.92975146951587 6.185370423134277, 12.952398062633373 6.157177064068101, 12.96468799251437 6.166009383438572, 12.936382292049878 6.193089691235976))"
"POLYGON ((13.108546175159992 6.311793701431096, 13.108404239886495 6.313519150738515, 13.076147561282243 6.326699542664101, 13.068669983519161 6.313101337809479, 13.108546175159992 6.311793701431096))"
"POLYGON ((12.991303979708825 6.077446833889785, 12.994435973330747 6.065178709381946, 12.997671938388963 6.061322887161924, 13.024851370962244 6.061340799653551, 12.991303979708825 6.077446833889785))"
"POLYGON ((13.036995931681771 6.093442852939476, 13.005531648578769 6.102950203662521, 13.033179888634523 6.074302752929778, 13.035734462236196 6.078103603151743, 13.036995931681771 6.093442852939476))"
"POLYGON ((13.27521562430954 6.330785280554096, 13.261049358497463 6.332998427240341, 13.252932820956113 6.329201354430075, 13.264850978709092 6.293448647172905, 13.27521562430954 6.330785280554096))"
"POLYGON ((13.150855248885462 6.20679961398743, 13.153331694443276 6.204182090313192, 13.158924085743223 6.200696317626937, 13.184908550066591 6.211216030221809, 13.150855248885462 6.20679961398743))"
"POLYGON ((13.585479934092957 6.086377445131365, 13.549827863637464 6.07228002317978, 13.56654293320711 6.064658490985574, 13.58298626078739 6.074826578702765, 13.585479934092957 6.086377445131365))"
"POLYGON ((13.348536795768966 6.2737464465625985, 13.346448268561419 6.272510075071159, 13.344547209970417 6.271049250297296, 13.37393105069869 6.24431686089362, 13.348536795768966 6.2737464465625985))"
"POLYGON ((13.066092621494368 6.153123449638132, 13.062702674072698 6.155678419052576, 13.03384119904993 6.131134811285533, 13.070647441002613 6.130270230936853, 13.066092621494368 6.153123449638132))"
"POLYGON ((13.431641692568647 6.136890952587885, 13.418348751492148 6.152644084748818, 13.414617249417292 6.113899785105772, 13.42247353992198 6.11673998019532, 13.431641692568647 6.136890952587885))"
"POLYGON ((13.20249886485596 6.459015396652834, 13.188513771205681 6.421544777491155, 13.190416305856907 6.420909532105072, 13.202346444270677 6.421278555110793, 13.20249886485596 6.459015396652834))"
"POLYGON ((13.003586622578625 6.415838396828337, 12.998798267934852 6.4168081420637435, 12.982090265053287 6.38382528755778, 13.003674419806991 6.377927104697446, 13.003586622578625 6.415838396828337))"
"POLYGON ((13.17219974116964 6.217756703601323, 13.14358249462716 6.197572756229443, 13.16320444147132 6.198783904617602, 13.167176652124875 6.202172993864045, 13.17219974116964 6.217756703601323))"
"POLYGON ((13.51362408868392 6.382117988435939, 13.51282726091334 6.3800331336321365, 13.512287427605987 6.369923133525541, 13.550602964539028 6.366918154424171, 13.51362408868392 6.382117988435939))"
"POLYGON ((13.384890116037369 6.30943993078821, 13.411605771015674 6.289005234337843, 13.417348458067755 6.292227246030924, 13.419898856836195 6.294676585525955, 13.384890116037369 6.30943993078821))"
"POLYGON ((13.093982918073724 6.233325445282009, 13.068597263649472 6.223493473526066, 13.071532501381519 6.201573044824377, 13.095565611255864 6.196876008629657, 13.093982918073724 6.233325445282009))"
"POLYGON ((13.07822392005461 6.103648918327055, 13.06630795797292 6.100756970769266, 13.05738145428159 6.088666140452878, 13.077083014368347 6.063705550772334, 13.07822392005461 6.103648918327055))"
"POLYGON ((13.308526644870046 6.175594379702349, 13.29900352634336 6.18260877667409, 13.27349517555255 6.170145433840164, 13.275027693826772 6.153869165671135, 13.308526644870046 6.175594379702349))"
"POLYGON ((13.545759576796803 6.478541730357779, 13.51124233778171 6.477172226769432, 13.539521809746157 6.450834950250063, 13.548319017312515 6.462993260200299, 13.545759576796803 6.478541730357779))"
"POLYGON ((12.987513470140119 6.354069778426195, 12.979244529655196 6.31500448823763, 13.000732175848478 6.32256938551572, 13.00420456694194 6.330705525648248, 12.987513470140119 6.354069778426195))"
"POLYGON ((13.124272959356942 6.24985473397293, 13.119263923460553 6.254125919179013, 13.093416724817423 6.249554642158286, 13.092614585494248 6.2484921730671505, 13.124272959356942 6.24985473397293))"
"POLYGON ((12.929112162274082 6.386835017564946, 12.924726839291838 6.381845681928687, 12.921921706834615 6.374060430528652, 12.943981165000068 6.351446858684089, 12.929112162274082 6.386835017564946))"
"POLYGON ((12.982343675428636 6.480907231580565, 12.998459528854653 6.447629817127329, 13.005609983573855 6.449416646217314, 13.016282081953442 6.461389092466726, 12.982343675428636 6.480907231580565))"
"POLYGON ((13.214318230839863 6.369116756869365, 13.17841964286661 6.37550247095483, 13.178905079944803 6.352244621036398, 13.213108604822892 6.355876916465725, 13.214318230839863 6.369116756869365))"
"POLYGON ((13.00198293840637 6.384498525569361, 13.002763900575086 6.379678594469998, 13.021377665896168 6.36527219666823, 13.041443474132707 6.380711796283481, 13.00198293840637 6.384498525569361))"
"POLYGON ((13.06347960152749 6.181394696807476, 13.060254714967522 6.184377822856069, 13.028481864457916 6.1704224368169625, 13.04215330908815 6.149283459719696, 13.06347960152749 6.181394696807476))"
"POLYGON ((13.322131633209876 6.311178510975152, 13.308392511712452 6.3231890764474725, 13.296332931850595 6.285131535377955, 13.307498575036059 6.284178463201198, 13.322131633209876 6.311178510975152))"
