i0,i1,num_features,size,num_points,avg_area,avg_side_length_0,avg_side_length_1
10,2,61,976,244,3.1252940626343952,1.7747025510495016,1.7526724062341148
3,6,66,1056,264,3.736893794198985,1.8358018478234186,1.907273469050569
9,3,62,992,248,3.692017539189328,1.770593260666773,2.0328071514537647
5,7,53,848,212,3.9713357559838007,1.7873755832353915,2.230891923583071
6,1,63,1008,252,5.174652694471158,2.0991569024090344,2.344057846353504
4,8,58,928,232,3.3870045009459773,1.7374275032402189,2.0633037117293136
7,5,55,880,220,3.303993803277989,1.6438629227135915,2.0861502515066674
6,9,68,1088,272,4.692648703989656,2.2088232941247865,2.0467372089032736
6,12,49,784,196,4.644734332892287,2.3228009059482924,2.1635760737975254
3,4,54,864,216,3.4574620760578587,2.0544510776842326,1.6320888962903748
4,1,65,1040,260,4.6166204842188465,2.1743894050946846,2.118147617558776
8,7,49,784,196,4.034184058409426,1.9495205351398956,2.056857263505777
0,3,61,976,244,4.144606581786791,1.9502983691814717,2.0125988052107284
0,7,65,1040,260,3.99169495604682,2.033628550204398,1.9151723014650714
7,3,60,960,240,4.05897745867058,2.2076974184678644,1.787923976929332
6,6,60,960,240,4.53090969492614,2.0945637746242225,2.0255478509978926
6,8,73,1168,292,4.680866583923897,2.2424655758886956,2.108040151833249
11,11,66,1056,264,3.930289756777434,2.036822111449692,1.9050832385525034
1,8,59,944,236,3.340191657229467,1.897425438443782,1.7978082801717579
6,4,72,1152,288,3.4356454492179003,1.962313053195082,1.860658332095164
11,3,56,896,224,3.648245639521847,2.0349748681208695,1.6749950846092259
6,2,61,976,244,4.1156449086312,2.0948951514303915,1.9353450174546665
9,2,56,896,224,3.846133271050905,1.9420868022306748,2.0047880557904287
0,5,70,1120,280,3.8992666747795033,2.0729412739147546,1.9311690625734985
1,6,62,992,248,3.5458169827658166,2.1181275018693353,1.701241186724667
0,2,60,960,240,4.7744596639219825,1.9275356259025591,2.2379290217931014
2,7,69,1104,276,3.736630057714959,1.6880661775856238,2.0715662115100923
10,4,64,1024,256,3.0372788023653445,1.6933134492257675,1.9212614019611263
9,0,62,992,248,3.2908346822566585,1.602419775457448,1.9423485517486978
12,11,57,912,228,4.163190648275013,2.1600807097575183,1.8468058655364465
3,2,71,1136,284,3.975120807671223,2.0519851422662834,2.018049324464663
1,0,63,1008,252,4.185848317376746,2.1906398874150157,1.8745169450987627
9,12,41,656,164,3.9782943512867397,2.1045011720893094,1.7449364599231991
9,11,46,736,184,4.213467603903212,2.128069764003143,1.9915375012590215
4,0,51,816,204,3.6409776387751527,1.9257678102060176,1.7877706371439182
4,11,58,928,232,4.09690395343828,2.2728373639606727,1.87982368644932
8,6,51,816,204,3.136322221642622,1.948100077801991,1.6669395519929409
4,7,72,1152,288,4.403022794675337,2.1196156185176007,2.0601316547739246
6,10,56,896,224,3.173636649772137,1.7665125650765883,1.7014794253175922
10,1,59,944,236,3.9047386113966183,2.0458159649249588,1.90978677682819
2,4,46,736,184,3.9210797002441207,1.8140364569104164,2.03841675125277
9,5,64,1024,256,4.133503740820685,2.14977051915017,1.8724320625305244
7,8,61,976,244,3.693066055581175,1.9124724999333176,1.949634512967835
8,5,70,1120,280,3.8438814632633513,1.989425520839319,2.026916996928122
4,12,45,720,180,3.7741811196387443,2.1033061102249615,1.8644168743866791
10,6,50,800,200,3.974075748690035,2.0031463638322675,2.014992168789421
5,2,56,896,224,3.709802040741633,1.9064278753921173,2.0783914967765567
3,10,59,944,236,3.493060495626132,1.9173260862590755,1.9029065394543083
9,6,59,944,236,3.782730170855278,2.1832223590942204,1.7774982232507732
1,3,68,1088,272,3.775667989037644,1.9397757985473731,1.8981967794130332
12,7,50,800,200,3.6620398401527114,2.0176978714074703,1.795473711636057
4,10,62,992,248,4.2698756207693584,2.0670526941703224,2.0220885526136096
5,9,54,864,216,4.259253310463095,1.963440970521955,2.1560127460101066
11,2,74,1184,296,4.802235376608806,2.015034210295479,2.398421736592017
12,1,52,832,208,4.198385338316859,1.7907197412490454,2.1912394526226118
2,2,64,1024,256,4.7455052912657,2.0062869150549,2.3449801880684973
7,4,48,768,192,3.9443700014447387,1.96209571704279,1.931961466762339
9,1,60,960,240,3.964391679103125,2.0162665273120544,1.8377385784124862
5,3,69,1104,276,3.5973603789120765,1.8365169659964564,1.9492521410394688
0,6,68,1088,272,3.994781713647427,2.0135658802142604,1.9387999240986407
6,3,66,1056,264,3.6060220160933496,2.037616974227473,1.856892222709066
6,0,60,960,240,3.999033070449805,2.052722983087406,1.908323657652003
6,5,50,800,200,4.051256754283565,1.9791343840970703,2.232909230498853
5,10,66,1056,264,3.4976064164921956,2.087014132812371,1.8090192161839913
0,12,53,848,212,4.080822149563629,2.0049402369932245,1.9549069837174824
4,4,62,992,248,5.030451774961247,2.338000398361955,2.092050125683289
7,11,59,944,236,4.505781321590051,1.9273671609946001,2.336898278391934
10,5,60,960,240,4.200310447337593,2.0232029085948766,2.1173956971415633
5,12,46,736,184,3.9219769629123307,1.798278004524476,2.2036856382959975
4,5,65,1040,260,3.7700942075528925,1.9732419306916995,2.014252291703572
2,3,62,992,248,4.1211551825241255,1.950774513020144,2.129962680599778
11,7,68,1088,272,3.7382217721444873,2.0245979474132807,1.9429406463287473
2,11,58,928,232,3.717797713427432,1.944132920160899,1.987869055036984
3,9,63,1008,252,4.78492950661739,2.202203163712453,2.236038596021649
8,2,65,1040,260,3.758691676787968,2.1417956804161378,1.754421033616333
10,11,66,1056,264,4.388134846744214,1.9119416503297608,2.2162020270057687
8,9,61,976,244,3.87397925055062,2.0858198289035204,1.9077144182066539
1,4,70,1120,280,3.9523191644698006,2.13764873583248,1.8890792686507962
0,1,70,1120,280,4.381559620138863,2.1484747342434356,2.062213456397142
11,1,64,1024,256,3.7795632129736227,1.7797506511958137,2.21682522185911
1,9,67,1072,268,4.440080062081667,2.00365549840224,2.137289230778507
3,8,68,1088,272,3.95357081808162,1.9970197973326345,2.0676727419174536
10,8,68,1088,272,3.595049569523159,1.9468419538928197,2.0079080005918324
12,2,43,688,172,3.8170925826657407,1.6527488125140115,2.24344993779433
7,2,46,736,184,3.637231097177683,1.9721923146996894,1.8808680452312283
0,4,59,944,236,4.395724777094074,2.177368113047213,1.8877568436513545
11,8,68,1088,272,3.322335604492142,1.9512411173332538,1.757952113704439
11,10,59,944,236,3.5066811581328805,2.0160142169037836,1.901394727713239
8,0,67,1072,268,3.0248887914944205,1.8128341632125993,1.7113463804504585
8,8,65,1040,260,4.294600262604801,1.8067081049912304,2.2263787297887054
10,7,53,848,212,3.480216061627364,2.1728200943257976,1.7757380907510816
7,6,55,880,220,4.329723852810851,2.067022701284853,2.0515464839569724
1,1,56,896,224,3.6694271528072737,2.033788131726287,1.9345083683325641
6,7,68,1088,272,4.087575263617586,2.0924802031524736,2.0004627183350427
8,4,60,960,240,3.0610474674965076,1.8678519628064483,1.7360050787086083
7,7,52,832,208,4.317291531746547,2.181255238693137,1.983715708502832
5,6,58,928,232,4.141231316207863,2.2929374711938126,1.9916223182793835
12,6,48,768,192,4.430001250600275,2.2072645453128534,2.041921226496586
1,7,67,1072,268,5.372102578476224,2.2635556878554333,2.3647479056169933
10,12,37,592,148,3.250357515128313,1.9324853619706441,1.8669387104695587
10,0,59,944,236,4.3571320114157714,1.9894216024311948,2.094285907038557
0,0,52,832,208,4.510452432417093,2.0830094789081404,2.2474272405723874
4,6,62,992,248,4.130788903455301,2.074052801710733,1.789483371218778
7,0,65,1040,260,4.220143942919394,2.269733709826882,2.0211269140567922
3,5,70,1120,280,3.535816791605816,1.7414883696101937,2.017096205412131
8,12,46,736,184,3.159558562241518,1.8669863227809917,1.740820613772565
12,10,56,896,224,4.649726901443361,2.26251296302196,2.1579447799747244
3,12,48,768,192,3.4774662716779563,1.8934243936941237,1.7976726306491546
7,1,64,1024,256,4.133742544995141,2.2227729990849747,1.9595482096855503
11,12,45,720,180,3.9217326027963475,1.862083775790288,2.02945902810404
8,3,73,1168,292,4.294656793178974,2.0209724481664915,2.0723207446186214
2,0,63,1008,252,5.2432935088790265,2.3454261936003022,2.254803628710655
12,9,53,848,212,4.342867921516933,1.9391061545376513,2.2156950222140144
0,9,76,1216,304,4.097324858626327,2.107245648096562,1.913783843415933
9,9,50,800,200,4.436558214794787,1.9398482480981372,2.1325711350638046
9,4,59,944,236,4.905897571126044,2.204096397015194,2.167353433597676
10,9,53,848,212,4.192597415118755,1.8965280846416306,2.1539079887360493
8,11,50,800,200,3.5318548995592334,2.038166423391974,1.9225245199178045
11,9,79,1264,316,4.618489686709299,2.175277407211946,2.1859357118097686
1,12,43,688,172,3.9195828883034665,2.0570308783524074,1.7837295472662538
1,11,62,992,248,3.75816293978227,2.159039008748303,1.8436164300723155
10,3,66,1056,264,4.151975218692365,2.0252949068249886,2.144076519645608
10,10,65,1040,260,3.7497211719497265,1.8773265509003603,1.9586613450866555
0,10,64,1024,256,4.430201077303169,1.9939294106658463,2.2170029631813892
2,12,55,880,220,3.8456112154789635,2.0162392622959775,2.0281071332301694
2,9,62,992,248,3.2166539850403044,1.6611151185860566,1.9223837951743035
11,6,56,896,224,4.511688461199407,2.1190433731419334,2.0714450450045563
5,4,64,1024,256,3.5739431100132064,1.7592706661282609,2.1333044691376877
3,3,77,1232,308,4.381584128805316,1.9648725788355073,2.0187017334963127
7,9,58,928,232,4.0654620844048805,2.0620714790823964,1.9575586148609245
7,10,56,896,224,3.920058500326293,1.647242262012351,2.4218162657191753
0,8,44,704,176,3.393802925832764,1.6821959120996859,1.9715165412946538
5,1,50,800,200,4.368459649761264,2.0493258633280687,2.089327839562777
12,3,55,880,220,4.877635939384797,2.080310713440093,2.2596114408821792
3,0,65,1040,260,4.251293272027625,2.1301149678511355,2.0172908930208027
12,4,52,832,208,4.3826918401264745,2.2104947663951906,2.082255206054818
5,8,69,1104,276,3.7826725987979173,1.8992274941432614,1.9499762104367584
11,0,58,928,232,3.7788503066963384,2.0518650486110896,1.8907200551926595
1,2,67,1072,268,3.5666942379270683,2.0303009096014026,1.8927719842516302
3,11,47,752,188,4.465787279943054,2.3507943640516067,1.8991158360967078
5,5,61,976,244,4.533829066651664,2.051581959479186,2.1120254622314762
4,2,56,896,224,3.313677867358689,1.9086670807307493,1.7914896466206816
12,5,54,864,216,3.4000066830004916,1.7497614556189334,1.9332282193242065
9,8,51,816,204,3.716688770928454,1.8985966311937863,1.993754842925162
2,6,69,1104,276,3.55996923139198,1.931887194806048,2.0223705877549887
0,11,65,1040,260,4.231370023509281,2.174215903366966,1.9522415602881042
11,5,56,896,224,4.334440479054222,2.0149282108640016,2.1638302280614714
3,7,57,912,228,4.195272964513917,2.028068416966676,2.0309545982522543
5,11,55,880,220,3.585391800832073,1.946994405869949,1.8898900643903838
9,7,72,1152,288,4.420068981469691,1.920716321917685,2.1243021133948172
6,11,56,896,224,3.3128919648987294,1.7657661894777106,1.9321490160068109
3,1,51,816,204,3.4987252338412422,2.0761892414107037,1.657737160498971
2,5,65,1040,260,3.843703692943109,1.9234045117452083,2.0249012759845777
1,5,63,1008,252,3.4778550165878293,1.8317894772609,2.0165128410610484
9,10,47,752,188,3.4772899962760495,1.870354587361118,1.9744205197985534
12,12,28,448,112,4.350633022595464,2.038419308156966,2.1756978545957675
8,10,77,1232,308,4.2983291767495,1.9637250597618952,2.117841629872281
4,3,50,800,200,3.12305807492718,1.8887886106120644,1.6685302667894966
11,4,55,880,220,4.301710558596837,2.154755258804297,1.9270477701780655
2,8,67,1072,268,4.808533964898804,2.269901698616355,2.0730836464934836
2,1,65,1040,260,4.954206229691237,2.132773245979284,2.154511266298867
2,10,59,944,236,4.491773306874532,2.105573358121592,2.2314971176511453
5,0,67,1072,268,3.8257398173990236,2.0046562069782854,1.9608301225747355
7,12,48,768,192,3.9093328753406866,1.9509298954254648,1.9918480653064023
12,8,46,736,184,4.6146656566703665,2.094648247842677,2.081087531490089
1,10,61,976,244,3.8972915486951294,1.9698964972406374,1.9763887060415284
4,9,61,976,244,3.6720441486202744,2.0113787187288743,1.914627733942292
12,0,44,704,176,4.3378428810100385,2.0932645476030824,1.9629094442405488
8,1,55,880,220,4.145091576104134,1.942787646008205,2.1617532336768988
