i0,i1,num_features,size,num_points,avg_area,avg_side_length_0,avg_side_length_1
83,86,2,32,8,0.028940556087140506,0.12528464852931975,0.22988824902262817
86,69,1,16,4,0.008978970892972593,0.01748958783344534,0.5133895080021329
109,105,3,48,12,0.08990133420282088,0.20180965272973003,0.5040838288363562
106,96,2,32,8,0.13498817390151727,0.2857476375413306,0.600740472439325
112,23,1,16,4,0.04746759435118161,0.3584591656037226,0.13242120415929648
79,75,2,32,8,0.07063612536292185,0.3065337134425805,0.24050039205303708
112,19,4,64,16,0.07033515568957906,0.1904948982765441,0.3444570872962114
72,99,1,16,4,0.024032586502674216,0.04299163842937048,0.5590060621243023
108,106,1,16,4,0.03940973172151442,0.26863609739358196,0.14670303843706733
46,84,2,32,8,0.046582022363148436,0.07344657063617888,0.6676453346406399
57,82,1,16,4,0.14025090391222508,0.2682443488020425,0.5228475624503339
104,27,1,16,4,0.00036859580524250147,0.0004551644109049846,0.8098080526762574
111,79,2,32,8,0.12219035804437703,0.16741911446416324,0.5593123398250377
47,43,2,32,8,0.15839291240636846,0.18615871497177894,0.6824877681385233
97,45,1,16,4,0.1624118695625719,0.3694952117989114,0.43955067447791585
54,84,1,16,4,0.05212168863215895,0.2673474858005225,0.19495858910395292
106,69,1,16,4,0.032629736215418585,0.04679769426798863,0.6972509378039708
59,21,1,16,4,0.05466764073662014,0.13153318222813892,0.41561862801890825
114,41,1,16,4,0.008163489306122318,0.2760688968851417,0.029570478232898267
110,63,1,16,4,0.04333994215142654,0.3444386381243838,0.12582775959001324
101,37,2,32,8,0.022067177067424483,0.1497544177108998,0.16952902565097938
58,55,3,48,12,0.08412190369244817,0.262730960565726,0.31913093748744714
76,63,3,48,12,0.035483358861277556,0.1273641979886412,0.24581701369502854
116,72,1,16,4,0.0523728393584447,0.10741949447892907,0.4875543271963352
58,90,1,16,4,0.11087447894086516,0.15829140284057175,0.7004453618528856
66,96,1,16,4,0.23030648016411193,0.35903884795937024,0.6414528162428095
120,87,3,48,12,0.06385500521090741,0.1050159411275627,0.6100979225887843
73,44,2,32,8,0.020084016298364503,0.06268346151737081,0.294724220955886
85,99,1,16,4,0.19432259149861272,0.355309417937276,0.5469108942474392
106,32,1,16,4,0.016916610771713574,0.10546190076631756,0.1604049486003234
83,62,2,32,8,0.01765958035537875,0.1703890359202731,0.08782238531364506
56,48,1,16,4,0.06798435201650863,0.15354844359477227,0.44275507080960885
61,70,3,48,12,0.13089451322636833,0.16018849339776567,0.7169330741099097
75,60,1,16,4,0.11877029577122739,0.23656092177421684,0.50207065004839
87,43,1,16,4,0.10906062070729283,0.11831210041433504,0.9218044504776515
80,52,1,16,4,0.0543025919967986,0.2563795917252012,0.21180543908113592
113,107,1,16,4,0.07653076040613409,0.15996135925981747,0.47843279627193525
97,27,2,32,8,0.009898932751506486,0.04962754543246861,0.2043385711999628
101,67,1,16,4,0.08563066896152599,0.09284516732791737,0.9222953808579968
73,25,2,32,8,0.18254165475849776,0.2637228065013819,0.7566409708991646
68,29,2,32,8,0.08558939101592047,0.17696214951434985,0.43061405987883017
90,86,2,32,8,0.09257684911126644,0.17750746896107827,0.45098383289866106
65,29,2,32,8,0.022258055518980524,0.1355440412987865,0.19635758095556088
76,99,3,48,12,0.10015218865711328,0.16186998071562364,0.6089795995932299
52,49,2,32,8,0.011797301455773021,0.24123145053764783,0.058855551916357385
81,31,1,16,4,0.18147045046119736,0.3635650210918957,0.4991416663687467
118,103,1,16,4,0.3230161062735435,0.3768566077376301,0.8571326590574984
78,57,2,32,8,0.10423424707980952,0.21689068115649057,0.5461998862180852
119,73,1,16,4,0.12523405064822027,0.2407404163887108,0.5202036804904893
90,24,1,16,4,0.1198080581022014,0.323807512003075,0.3699977723217973
95,78,1,16,4,0.0019708756666246166,0.04431747053377322,0.04447175443198326
52,72,1,16,4,0.09245630961560392,0.35622358087280404,0.2595457307713076
106,38,1,16,4,0.27038866727279887,0.3488826942101131,0.775013125500454
99,101,2,32,8,0.10993523475885511,0.18414340235230586,0.5692795210213113
119,105,2,32,8,0.022273832399793376,0.16455097715149947,0.18151179296086184
110,28,3,48,12,0.14600413063768528,0.2615850979940948,0.5943678199867742
99,38,4,64,16,0.12809722709954227,0.16611253412662053,0.7210308664990506
78,67,1,16,4,0.15601362616501416,0.2575916042799875,0.6056626985227211
54,43,1,16,4,0.07034425579075027,0.2828944790864254,0.24865899121792268
95,20,1,16,4,0.10839847692287871,0.21699161510770004,0.49955145441484916
117,91,2,32,8,0.03790070141043465,0.05807121296316087,0.6568112164276041
115,64,2,32,8,0.07917718256819054,0.19418708113524108,0.5194101039807197
91,88,1,16,4,0.12848375486821706,0.2049919488766001,0.6267746395521172
62,107,1,16,4,0.09734495051156954,0.18472565622194637,0.5269703868022013
45,93,1,16,4,0.06376951913259034,0.3455205333911735,0.18456072206972163
64,91,2,32,8,0.1427248511815655,0.22589965494975495,0.6159411672556372
100,78,3,48,12,0.1995804711223208,0.2945124987523666,0.7010193286122964
53,24,1,16,4,0.015194681142035777,0.037283992562958,0.4075390025995187
114,53,1,16,4,0.00257876798391763,0.011873092753774017,0.21719429279266222
105,69,3,48,12,0.1595026454154944,0.24416711871389177,0.6967298321914962
73,71,1,16,4,0.01267118589551706,0.13246787074970534,0.09565478650637438
45,103,1,16,4,0.02619854257112862,0.25103367658791864,0.10436266132585281
64,35,1,16,4,0.17255567188991475,0.3314520769481213,0.5206051911900467
85,84,1,16,4,0.005259960782746045,0.15431564502307893,0.03408572592856274
92,55,4,64,16,0.10853797450495783,0.21784018694038876,0.523365656351912
45,84,1,16,4,0.08766149737708313,0.21678873611839222,0.4043637088654348
61,27,2,32,8,0.20781277576030893,0.2617735795496001,0.8048116367571261
48,56,2,32,8,0.04444259864857425,0.08178452833246475,0.5936991853800098
77,44,2,32,8,0.024924100642756672,0.046028266658811656,0.5543064993208153
55,29,3,48,12,0.06038878931341098,0.17302689669782575,0.3783855428742638
