datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint
dataset1;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset1;2;1.0;3.0;7.0;4.0;8.0;1.0
dataset1;3;1.0;4.0;6.0;5.0;7.0;1.0
dataset1;4;1.0;5.0;5.0;6.0;6.0;1.0
dataset1;5;1.0;6.0;4.0;7.0;5.0;1.0
dataset1;1;0.5;6.5;3.5;7.5;4.0;0.5
dataset1;2;0.5;6.5;4.5;7.5;5.0;0.5
dataset1;3;0.5;6.5;5.5;7.5;6.0;0.5
dataset1;4;0.5;6.5;6.5;7.5;7.0;0.5
dataset1;5;0.5;6.5;7.5;7.5;8.0;0.5
dataset1;1;2.0;2.0;4.0;4.0;5.0;2.0
dataset1;2;2.0;6.0;4.0;8.0;5.0;2.0
dataset1;3;2.0;2.0;8.0;4.0;9.0;2.0
dataset1;4;2.0;6.0;8.0;8.0;9.0;2.0
dataset1;5;2.0;4.5;5.5;5.5;7.5;2.0
dataset1;1;1.5;3.5;3.5;4.5;5.0;1.5
dataset1;2;1.5;3.5;4.5;4.5;6.0;1.5
dataset1;3;1.5;3.5;5.5;4.5;7.0;1.5
dataset1;4;1.5;3.5;6.5;4.5;8.0;1.5
dataset1;5;1.5;3.5;7.5;4.5;9.0;1.5
dataset1;1;0.75;2.5;8.75;3.5;9.5;0.75
dataset1;2;0.75;2.5;7.75;3.5;8.5;0.75
dataset1;3;0.75;2.5;6.75;3.5;7.5;0.75
dataset1;4;0.75;2.5;5.75;3.5;6.5;0.75
dataset1;5;0.75;2.5;4.75;3.5;5.5;0.75
dataset1;1;1.75;5.5;7.75;6.5;9.5;1.75
dataset1;2;1.75;5.5;6.75;6.5;8.5;1.75
dataset1;3;1.75;5.5;5.75;6.5;7.5;1.75
dataset1;4;1.75;5.5;4.75;6.5;6.5;1.75
dataset1;5;1.75;5.5;3.75;6.5;5.5;1.75
dataset1;1;0.25;2.25;6.0;2.5;7.0;0.25
dataset1;2;0.25;2.5;6.0;2.75;7.0;0.25
dataset1;3;0.25;7.25;6.0;7.5;7.0;0.25
dataset1;4;0.25;7.5;6.0;7.75;7.0;0.25
dataset1;5;0.25;5.25;6.0;5.5;7.0;0.25
dataset1;1;1.25;1.5;3.5;2.75;4.5;1.25
