datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint
dataset1;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset1;2;1.0;3.0;7.0;4.0;8.0;1.0
dataset1;3;1.0;4.0;6.0;5.0;7.0;1.0
dataset1;4;1.0;5.0;5.0;6.0;6.0;1.0
dataset1;5;1.0;6.0;4.0;7.0;5.0;1.0
dataset2;1;1.0;6.0;11.5;7.0;12.5;1.0
dataset2;2;1.0;7.0;10.5;8.0;11.5;1.0
dataset2;3;1.0;8.0;9.5;9.0;10.5;1.0
dataset2;4;1.0;9.0;8.5;10.0;9.5;1.0
dataset2;5;1.0;10.0;7.5;11.0;8.5;1.0
dataset3;1;1.0;10.0;8.0;11.0;9.0;1.0
dataset3;2;1.0;11.0;7.0;12.0;8.0;1.0
dataset3;3;1.0;12.0;6.0;13.0;7.0;1.0
dataset3;4;1.0;13.0;5.0;14.0;6.0;1.0
dataset3;5;1.0;14.0;4.0;15.0;5.0;1.0
