datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint
dataset0001;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0001;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0001;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0002;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0002;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0002;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0002;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0003;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0003;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0003;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0003;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0004;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0004;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0004;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0004;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0005;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0005;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0005;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0005;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0001;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0002;2;1.0;3.0;7.0;4.0;8.0;1.0
dataset0004;3;1.0;4.0;6.0;5.0;7.0;1.0
dataset0004;4;1.0;5.0;5.0;6.0;6.0;1.0
dataset0003;5;1.0;6.0;4.0;7.0;5.0;1.0
dataset0002;6;1.0;2.0;8.0;3.0;9.0;1.0
dataset0003;7;1.0;3.0;7.0;4.0;8.0;1.0
dataset0002;8;1.0;4.0;6.0;5.0;7.0;1.0
dataset0002;9;1.0;5.0;5.0;6.0;6.0;1.0
dataset0005;10;1.0;6.0;4.0;7.0;5.0;1.0
