datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint
dataset0001;1;5.00E-04;1.073430109;5.667652235;1.092535711;5.693822571;5.00E-04
dataset0001;2;1.00E-03;1.584387061;4.462356804;1.600607809;4.524006245;1.00E-03
dataset0001;3;0.004;0.625734873;6.508645235;0.652987359;6.655420832;0.004
dataset0001;4;0.007;1.855633524;4.221685515;1.872880357;4.627557131;0.007
dataset0001;5;0.01;2.043780615;6.579044718;2.088865925;6.800846454;0.01
dataset0001;6;0.03;0.981019049;5.562753422;1.085573521;5.849685195;0.03
dataset0001;7;0.05;0.64307417;4.293173297;0.814026959;4.585651708;0.05
dataset0001;8;0.07;1.473918531;3.917451233;1.597944555;4.481848909;0.07
dataset0001;9;0.1;1.051878562;6.303306021;1.22032678;6.896960269;0.1
dataset0001;10;0.13;1.527665788;5.352305712;1.605369004;7.025338139;0.13
dataset1001;1;5.00E-04;6.224844437;5.232145346;6.246450127;5.255287398;5.00E-04
dataset1001;2;1.00E-03;5.816177343;5.598903796;5.823833804;5.729512447;1.00E-03
dataset1001;3;0.004;3.256990277;4.419189868;3.317719635;4.485055871;0.004
dataset1001;4;0.007;4.42543099;2.832831189;4.463136431;3.018480788;0.007
dataset1001;5;0.01;7.401569297;3.075727213;7.497865792;3.179573153;0.01
dataset1001;6;0.03;7.172788035;2.60724311;7.231115195;3.121583259;0.03
dataset1001;7;0.05;3.587948862;2.713887226;3.649091697;3.531644536;0.05
dataset1001;8;0.07;3.454440375;3.691547133;3.715997156;3.959175445;0.07
dataset1001;9;0.1;6.637356612;5.093848279;6.872636321;5.518874306;0.1
dataset1001;10;0.13;4.308688776;4.247102611;4.482018326;4.997118979;0.13
dataset1201;1;5.00E-04;2.352069893;7.960192008;2.359681115;8.025884478;5.00E-04
dataset1201;2;1.00E-03;4.421059694;8.255420837;4.434411314;8.330318114;1.00E-03
dataset1201;3;0.004;4.276871993;7.578132504;4.308987953;7.702681172;0.004
dataset1201;4;0.007;1.244511863;8.44163539;1.309055378;8.550089353;0.007
dataset1201;5;0.01;3.610992774;8.492189473;3.687537905;8.622831357;0.008745578
dataset1201;6;0.03;1.189469896;7.677556161;1.303002258;7.941798;0.03
dataset1201;7;0.05;1.996243006;8.123414088;2.202151596;8.366240286;0.05
dataset1201;8;0.07;3.120898615;8.415251046;3.307642727;8.790095528;0.035704038
dataset1201;9;0.1;2.379751032;7.626024644;2.570677098;8.149787595;0.1
dataset1201;10;0.13;3.390536969;8.426126181;3.579180829;9.115255423;0.034015727
dataset1401;1;5.00E-04;7.199238789;9.095618757;7.207581233;9.155553231;5.00E-04
dataset1401;2;0.001;7.909467669;8.64355235;7.932698726;8.686598175;0.001
dataset1401;3;0.004;6.225747743;7.578652639;6.253911014;7.720681599;0.004
dataset1401;4;0.007;6.565700161;6.085927478;6.60738259;6.253863949;0.007
dataset1401;5;0.01;8.185597774;6.627730831;8.269580432;6.746803033;0.008821081
dataset1401;6;0.03;6.988354722;5.818228615;7.074235649;6.167549483;0.03
dataset1401;7;0.05;6.31362464;7.725404747;6.513704335;7.975305169;0.05
dataset1401;8;0.07;6.920005711;8.621851383;7.060586743;9.119784845;0.07
dataset1401;9;0.1;6.346274275;7.896232628;6.439727861;8.96628252;0.1
dataset1401;10;0.13;7.291685451;6.831621929;7.36544663;8.594066651;0.13
dataset1601;1;5.00E-04;6.578409055;1.026652424;6.598377104;1.051692427;5.00E-04
dataset1601;2;0.001;5.958995547;2.229978735;5.980606442;2.276251692;0.001
dataset1601;3;0.004;7.369633585;2.344505126;7.391895341;2.524185466;0.004
dataset1601;4;0.007;8.207921967;3.141035971;8.234512665;3.404285931;0.007
dataset1601;5;0.01;7.760133443;3.711742553;7.793813248;4.008656385;0.01
dataset1601;6;0.03;5.583216322;2.599430444;5.67957137;2.910778947;0.03
dataset1601;7;0.05;8.101487036;1.674090099;8.284309557;1.947579381;0.05
dataset1601;8;0.07;5.58214031;0.877772717;5.728078443;1.357428024;0.07
dataset1601;9;0.1;7.917736455;4.331193985;8.192443348;4.695218343;0.1
dataset1601;10;0.13;8.586503294;2.268111351;8.803220517;2.867971382;0.09211342
dataset1801;1;5.00E-04;5.420353959;6.815454209;5.425370663;6.915121231;0
dataset1801;2;0.001;8.140823126;6.642466784;8.165233279;6.683433343;0
dataset1801;3;0.004;4.438381199;5.260381519;4.463416213;5.420157738;0.004
dataset1801;4;0.007;2.746184734;7.005696156;2.794657017;7.150108584;0
dataset1801;5;0.01;4.887846783;5.228487027;4.973198437;5.345649373;0.01
dataset1801;6;0.03;8.600453895;4.117269664;8.759219643;4.306227297;0.03
dataset1801;7;0.05;6.43388914;4.565829487;6.552387914;4.98777478;0.05
dataset1801;8;0.07;3.894599353;6.987883306;4.029658779;7.506173674;0
dataset1801;9;0.1;3.508945452;5.686867218;3.776686955;6.060361797;0.1
dataset1801;10;0.13;5.968578563;4.289141058;6.093858202;5.32681966;0.13
