datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint
dataset0001;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0001;2;1.0;3.0;7.0;4.0;8.0;1.0
dataset0001;3;1.0;4.0;6.0;5.0;7.0;1.0
dataset0001;4;1.0;5.0;5.0;6.0;6.0;1.0
dataset0001;5;1.0;6.0;4.0;7.0;5.0;1.0
dataset0001;1;0.5;6.5;3.5;7.5;4.0;0.5
dataset0001;2;0.5;6.5;4.5;7.5;5.0;0.5
dataset0001;3;0.5;6.5;5.5;7.5;6.0;0.5
dataset0001;4;0.5;6.5;6.5;7.5;7.0;0.5
dataset0001;5;0.5;6.5;7.5;7.5;8.0;0.5
dataset0001;1;2.0;2.0;4.0;4.0;5.0;2.0
dataset0001;2;2.0;6.0;4.0;8.0;5.0;2.0
dataset0001;3;2.0;2.0;8.0;4.0;9.0;2.0
dataset0001;4;2.0;6.0;8.0;8.0;9.0;2.0
dataset0001;5;2.0;4.5;5.5;5.5;7.5;2.0
dataset0001;1;1.5;3.5;3.5;4.5;5.0;1.5
dataset0001;2;1.5;3.5;4.5;4.5;6.0;1.5
dataset0001;3;1.5;3.5;5.5;4.5;7.0;1.5
dataset0001;4;1.5;3.5;6.5;4.5;8.0;1.5
dataset0001;5;1.5;3.5;7.5;4.5;9.0;1.5
dataset0001;1;0.75;2.5;8.75;3.5;9.5;0.75
dataset0001;2;0.75;2.5;7.75;3.5;8.5;0.75
dataset0001;3;0.75;2.5;6.75;3.5;7.5;0.75
dataset0001;4;0.75;2.5;5.75;3.5;6.5;0.75
dataset0001;5;0.75;2.5;4.75;3.5;5.5;0.75
dataset0001;1;1.75;5.5;7.75;6.5;9.5;1.75
dataset0001;2;1.75;5.5;6.75;6.5;8.5;1.75
dataset0001;3;1.75;5.5;5.75;6.5;7.5;1.75
dataset0001;4;1.75;5.5;4.75;6.5;6.5;1.75
dataset0001;5;1.75;5.5;3.75;6.5;5.5;1.75
dataset0001;1;0.25;2.25;6.0;2.5;7.0;0.25
dataset0001;2;0.25;2.5;6.0;2.75;7.0;0.25
dataset0001;3;0.25;7.25;6.0;7.5;7.0;0.25
dataset0001;4;0.25;7.5;6.0;7.75;7.0;0.25
dataset0001;5;0.25;5.25;6.0;5.5;7.0;0.25
dataset0001;1;1.25;1.5;3.5;2.75;4.5;1.25
dataset0001;2;1.25;2.5;4.5;3.75;5.5;1.25
dataset0001;3;1.25;3.5;5.5;4.75;6.5;1.25
dataset0001;4;1.25;4.5;6.5;5.75;7.5;1.25
dataset0001;5;1.25;5.5;7.5;6.75;8.5;1.25
dataset0001;1;2.25;1.5;6.0;3.75;7.0;2.25
dataset0001;2;2.25;6.25;6.0;8.5;7.0;2.25
dataset0001;3;2.25;4.5;3.5;5.5;5.75;2.25
dataset0001;4;2.25;4.5;7.25;5.5;9.5;2.25
dataset0001;5;2.25;3.85;6.0;6.0;7.0;2.25
dataset0001;1;2.5;1.5;3.5;2.5;6.0;2.5
dataset0001;2;2.5;7.5;3.5;8.5;6.0;2.5
dataset0001;3;2.5;1.5;7.0;2.5;9.5;2.5
dataset0001;4;2.5;7.5;7.0;8.5;9.5;2.5
dataset0001;5;2.5;4.0;6.0;6.5;7.0;2.5
dataset0002;1;1.0;2.0;8.0;3.0;9.0;1.0
dataset0002;2;1.0;3.0;7.0;4.0;8.0;1.0
dataset0002;3;1.0;4.0;6.0;5.0;7.0;1.0
dataset0002;4;1.0;5.0;5.0;6.0;6.0;1.0
dataset0002;5;1.0;6.0;4.0;7.0;5.0;1.0
dataset0002;1;0.5;6.5;3.5;7.5;4.0;0.5
dataset0002;2;0.5;6.5;4.5;7.5;5.0;0.5
dataset0002;3;0.5;6.5;5.5;7.5;6.0;0.5
dataset0002;4;0.5;6.5;6.5;7.5;7.0;0.5
dataset0002;5;0.5;6.5;7.5;7.5;8.0;0.5
dataset0002;1;2.0;2.0;4.0;4.0;5.0;2.0
