datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests
dataset02;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0398;2179;4587
dataset02;2;1.0;3.0;7.0;4.0;8.0;0.0;0.04103333333333333;271;5138
dataset02;3;1.0;4.0;6.0;5.0;7.0;1.0;0.03933333333333333;159;6551
dataset02;4;1.0;5.0;5.0;6.0;6.0;4.0;0.03983333333333333;170;5598
dataset02;5;1.0;6.0;4.0;7.0;5.0;9.0;0.038766666666666665;189;3974
dataset02;1;0.5;6.5;3.5;7.5;4.0;14.0;0.0199;128;1962
dataset02;2;0.5;6.5;4.5;7.5;5.0;10.5;0.022533333333333332;112;3974
dataset02;3;0.5;6.5;5.5;7.5;6.0;7.0;0.024833333333333332;255;3993
dataset02;4;0.5;6.5;6.5;7.5;7.0;3.5;0.023266666666666668;110;3858
dataset02;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.024266666666666666;130;4041
dataset02;1;2.0;2.0;4.0;4.0;5.0;0.0;0.0736;152;5598
dataset02;2;2.0;6.0;4.0;8.0;5.0;9.0;0.0682;178;4846
dataset02;3;2.0;2.0;8.0;4.0;9.0;1.0;0.07103333333333334;144;6517
dataset02;4;2.0;6.0;8.0;8.0;9.0;0.0;0.0718;110;5875
dataset02;5;2.0;4.5;5.5;5.5;7.5;0.75;0.07056666666666667;105;8609
dataset02;1;1.5;3.5;3.5;4.5;5.0;1.5;0.0524;169;3703
dataset02;2;1.5;3.5;4.5;4.5;6.0;1.0;0.05533333333333333;168;6698
dataset02;3;1.5;3.5;5.5;4.5;7.0;0.5;0.0561;156;5611
dataset02;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.057666666666666665;151;6751
dataset02;5;1.5;3.5;7.5;4.5;9.0;0.0;0.057133333333333335;157;6927
dataset02;1;0.75;2.5;8.75;3.5;9.5;0.125;0.028433333333333335;115;4587
dataset02;2;0.75;2.5;7.75;3.5;8.5;0.25;0.03183333333333333;179;6686
dataset02;3;0.75;2.5;6.75;3.5;7.5;0.0;0.0313;99;6686
dataset02;4;0.75;2.5;5.75;3.5;6.5;0.0;0.03166666666666667;177;6608
dataset02;5;0.75;2.5;4.75;3.5;5.5;0.0;0.03183333333333333;77;6658
dataset02;1;1.75;5.5;7.75;6.5;9.5;0.0;0.059866666666666665;83;4844
dataset02;2;1.75;5.5;6.75;6.5;8.5;0.0;0.062233333333333335;114;5955
dataset02;3;1.75;5.5;5.75;6.5;7.5;1.25;0.0625;92;7891
dataset02;4;1.75;5.5;4.75;6.5;6.5;3.75;0.0643;119;6768
dataset02;5;1.75;5.5;3.75;6.5;5.5;6.25;0.06386666666666667;83;4891
dataset02;1;0.25;2.25;6.0;2.5;7.0;0.0;0.015633333333333332;95;3629
dataset02;2;0.25;2.5;6.0;2.75;7.0;0.0;0.015866666666666668;74;5617
dataset02;3;0.25;7.25;6.0;7.5;7.0;4.25;0.016866666666666665;95;2951
dataset02;4;0.25;7.5;6.0;7.75;7.0;4.5;0.016233333333333332;77;2951
dataset02;5;0.25;5.25;6.0;5.5;7.0;2.25;0.016033333333333333;100;4568
dataset02;1;1.25;1.5;3.5;2.75;4.5;0.0;0.03963333333333333;68;3599
dataset02;2;1.25;2.5;4.5;3.75;5.5;0.0;0.0474;62;7684
dataset02;3;1.25;3.5;5.5;4.75;6.5;0.75;0.047733333333333336;114;6551
dataset02;4;1.25;4.5;6.5;5.75;7.5;0.75;0.048666666666666664;117;6754
dataset02;5;1.25;5.5;7.5;6.75;8.5;0.0;0.04716666666666667;69;5084
dataset02;1;2.25;1.5;6.0;3.75;7.0;0.0;0.0726;57;6608
dataset02;2;2.25;6.25;6.0;8.5;7.0;3.25;0.0723;112;7597
dataset02;3;2.25;4.5;3.5;5.5;5.75;3.375;0.07376666666666666;63;7598
dataset02;4;2.25;4.5;7.25;5.5;9.5;0.0;0.0758;108;4898
dataset02;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.07613333333333333;76;7547
dataset02;1;2.5;1.5;3.5;2.5;6.0;0.0;0.0765;62;4694
dataset02;2;2.5;7.5;3.5;8.5;6.0;9.0;0.07273333333333333;121;3868
dataset02;3;2.5;1.5;7.0;2.5;9.5;0.5;0.07436666666666666;112;4579
dataset02;4;2.5;7.5;7.0;8.5;9.5;0.0;0.07346666666666667;81;3825
dataset02;5;2.5;4.0;6.0;6.5;7.0;1.0;0.08623333333333333;90;9482
