datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests
dataset1001;1;5.000000014758849E-4;6.224844437;5.232145346;6.246450127;5.255287398;5.000000014758849E-4;0.0;1890;5177
dataset1001;2;0.0010000000426442072;5.816177343;5.598903796;5.823833804;5.729512447;0.1377938292711597;3.8687712782420303E-5;107;5177
dataset1001;3;0.004000000076216082;3.256990277;4.419189868;3.317719635;4.485055871;2.171882342085659;0.0;99;5148
dataset1001;4;0.00700000000176815;4.42543099;2.832831189;4.463136431;3.018480788;3.899830574427052;4.6425255338904364E-4;137;5192
dataset1001;5;0.010000000041980305;7.401569297;3.075727213;7.497865792;3.179573153;2.3709654879432396;0.0;54;5162
dataset1001;6;0.030000000165146902;7.172788035;2.60724311;7.231115195;3.121583259;1.9550936683756939;0.0;53;5162
dataset1001;7;0.04989944868207395;3.587948862;2.713887226;3.649091697;3.53;4.384305538837749;0.007311977715877437;45;5148
dataset1001;8;0.07021566774274114;3.454440375;3.691547133;3.715997156;3.96;3.191618392348905;5.803156917363045E-4;93;5148
dataset1001;9;0.09999999994998614;6.637356612;5.093848279;6.872636321;5.518874306;0.0;0.0026307644692045804;76;10339
dataset1001;10;0.1299999995580744;4.308688776;4.247102611;4.482018326;4.997118979;0.4096100891810696;3.0950170225936243E-4;57;5177
dataset1002;1;5.000000227312609E-4;8.809264405;7.058275158;8.831450146;7.080812157;5.000000227312609E-4;0.0;69;5264
dataset1002;2;0.0010000000178295649;4.207228937;4.562294212;4.226808853;4.613366955;11.203683168967695;0.0;68;5302
dataset1002;3;0.0040000000017324806;3.156548506;4.144055939;3.211490878;4.216859494;15.905601383142324;1.135890348718337E-4;59;5280
dataset1002;4;0.006999999954515389;6.595503554;9.607762319;6.645051127;9.749040681;5.468859093444652;7.572602324788914E-5;99;5282
dataset1002;5;0.009999999872261052;3.514868975;3.661427143;3.566186081;3.856293936;16.788238338923232;3.407671046155011E-4;66;5280
dataset1002;6;0.029999999971099898;6.197612202;2.000298736;6.320465061;2.244493297;11.9805371378159;0.0;61;5283
dataset1002;7;0.049284456676749515;7.060196075;5.130189543;7.214301282;5.45;2.565139568646998;4.922191511112794E-4;58;5264
dataset1002;8;0.07000000007259681;8.649212257;8.50667824;8.845150155;8.863934293;0.0;0.0015145204649577827;47;5282
