datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;mbrTests;averageExecutionTime;numberParallelThreads;totalExecutionTime
dataset0001;1;0.0005000000238222;1.073430109;5.667652235;1.092535711;5.693822571;0.0005000000238222;0.000212022571487;48812;3000;1;3000
dataset0001;2;0.0010000000468018;1.584387061;4.462356804;1.600607809;4.524006245;0.0010000000468018;0.0004413834373713;48789;4000;1;4000
dataset0001;3;0.0039999999023841;0.625734873;6.508645235;0.652987359;6.655420832;0.0039999999023841;0.0010888448881506;48431;3000;1;3000
dataset0001;4;0.0069999999805921;1.855633524;4.221685515;1.872880357;4.627557131;0.0069999999805921;0.0030237985428897;97185;9000;2;18000
dataset0001;5;0.0100000000260981;2.043780615;6.579044718;2.088865925;6.800846454;0.0100000000260981;0.0021271610326291;76425;5500;2;11000
dataset0001;6;0.0300000000260388;0.981019049;5.562753422;1.085573521;5.849685195;0.0300000000260388;0.0030178539848106;48812;4000;1;4000
dataset0001;7;0.0500000000827383;0.64307417;4.293173297;0.814026959;4.585651708;0.0500000000827383;0.0052356695281457;97612;8000;2;16000
dataset0001;8;0.0699999997091202;1.473918531;3.917451233;1.597944555;4.481848909;0.0699999997091202;0.0081940779321656;194133;16000;4;64000
dataset0001;9;0.10000000018373;1.051878562;6.303306021;1.22032678;6.896960269;0.10000000018373;0.009027306822916;48110;4000;1;4000
dataset0001;10;0.1300000000501851;1.527665788;5.352305712;1.605369004;7.025338139;0.1300000000501851;0.0151799244347592;97127;8000;2;16000
dataset1001;1;0.0005000000014758;6.224844437;5.232145346;6.246450127;5.255287398;0.0005000000014758;1.140959040562582e-05;60038;6000;1;6000
dataset1001;2;0.0010000000426442;5.816177343;5.598903796;5.823833804;5.729512447;0.0010000000426442;2.4803457403534394e-06;62464;7000;1;7000
dataset1001;3;0.004000000076216;3.256990277;4.419189868;3.317719635;4.485055871;0.004000000076216;9.921382961413755e-07;62464;6000;1;6000
dataset1001;4;0.0070000000017681;4.42543099;2.832831189;4.463136431;3.018480788;0.0070000000017681;0.0005794087649465;153261;10000;3;30000
dataset1001;5;0.0100000000419803;7.401569297;3.075727213;7.497865792;3.179573153;0.0100000000419803;4.960691480706879e-07;62532;6000;1;6000
dataset1001;6;0.0300000001651469;7.172788035;2.60724311;7.231115195;3.121583259;0.0300000001651469;2.4803457403534394e-06;62532;6000;1;6000
dataset1001;7;0.0500000002753735;3.587948862;2.713887226;3.649091697;3.531644536;0.0500000002753735;0.0067505089669459;165651;13333;3;40000
dataset1001;8;0.0699999997911837;3.454440375;3.691547133;3.715997156;3.959175445;0.0699999997911837;0.0005273215043991;56186;6000;1;6000
dataset1001;9;0.0999999999499861;6.637356612;5.093848279;6.872636321;5.518874306;0.0999999999499861;0.0025254880328278;60038;8000;1;8000
dataset1001;10;0.1299999995580744;4.308688776;4.247102611;4.482018326;4.997118979;0.1299999995580744;0.0003417916430207;62464;6000;1;6000
dataset1201;1;0.0004999999728983;2.352069893;7.960192008;2.359681115;8.025884478;0.0004999999728983;0.0001362862360673;147048;15000;2;30000
