datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;mbrTests;averageExecutionTime;numberParallelThreads;totalExecutionTime
dataset0001;1;1.0;2.0;8.0;3.0;9.0;1.0;0.023674;31098;2000;1;2000
dataset0001;2;1.0;3.0;7.0;4.0;8.0;1.0;0.023648;124702;9000;4;36000
dataset0001;3;1.0;4.0;6.0;5.0;7.0;1.0;0.023458;124690;10250;4;41000
dataset0001;4;1.0;5.0;5.0;6.0;6.0;1.0;0.023782;62735;5500;2;11000
dataset0001;5;1.0;6.0;4.0;7.0;5.0;1.0;0.023752;62512;4000;2;8000
dataset0001;1;0.5;6.5;3.5;7.5;4.0;0.5;0.011756;62512;5000;2;10000
dataset0001;2;0.5;6.5;4.5;7.5;5.0;0.5;0.011804;62512;4000;2;8000
dataset0001;3;0.5;6.5;5.5;7.5;6.0;0.5;0.011738;62467;5000;2;10000
dataset0001;4;0.5;6.5;6.5;7.5;7.0;0.5;0.0119;124866;9250;4;37000
dataset0001;5;0.5;6.5;7.5;7.5;8.0;0.5;0.011886;125240;10000;4;40000
dataset0001;1;2.0;2.0;4.0;4.0;5.0;2.0;0.047608;62512;5000;2;10000
dataset0001;2;2.0;6.0;4.0;8.0;5.0;2.0;0.04728;62512;5000;2;10000
dataset0001;3;2.0;2.0;8.0;4.0;9.0;2.0;0.047496;62447;5500;2;11000
dataset0001;4;2.0;6.0;8.0;8.0;9.0;2.0;0.04769;62841;5000;2;10000
dataset0001;5;2.0;4.5;5.5;5.5;7.5;2.0;0.047944;124690;10000;4;40000
dataset0001;1;1.5;3.5;3.5;4.5;5.0;1.5;0.035616;31183;2000;1;2000
dataset0001;2;1.5;3.5;4.5;4.5;6.0;1.5;0.035898;62314;5000;2;10000
dataset0001;3;1.5;3.5;5.5;4.5;7.0;1.5;0.035224;62124;5000;2;10000
dataset0001;4;1.5;3.5;6.5;4.5;8.0;1.5;0.03543;93473;8000;3;24000
dataset0001;5;1.5;3.5;7.5;4.5;9.0;1.5;0.035604;62342;5000;2;10000
dataset0001;1;0.75;2.5;8.75;3.5;9.5;0.75;0.0178;62447;5000;2;10000
dataset0001;2;0.75;2.5;7.75;3.5;8.5;0.75;0.017936;124702;9500;4;38000
dataset0001;3;0.75;2.5;6.75;3.5;7.5;0.75;0.01795;62255;5000;2;10000
dataset0001;4;0.75;2.5;5.75;3.5;6.5;0.75;0.017792;62551;5000;2;10000
dataset0001;5;0.75;2.5;4.75;3.5;5.5;0.75;0.018004;125063;10000;4;40000
dataset0001;1;1.75;5.5;7.75;6.5;9.5;1.75;0.041728;62792;5000;2;10000
dataset0001;2;1.75;5.5;6.75;6.5;8.5;1.75;0.041678;62792;5000;2;10000
dataset0001;3;1.75;5.5;5.75;6.5;7.5;1.75;0.041628;62566;5000;2;10000
dataset0001;4;1.75;5.5;4.75;6.5;6.5;1.75;0.04171;62735;5000;2;10000
dataset0001;5;1.75;5.5;3.75;6.5;5.5;1.75;0.042034;62735;5000;2;10000
dataset0001;1;0.25;2.25;6.0;2.5;7.0;0.25;0.005832;62682;5000;2;10000
dataset0001;2;0.25;2.5;6.0;2.75;7.0;0.25;0.006024;62682;5000;2;10000
dataset0001;3;0.25;7.25;6.0;7.5;7.0;0.25;0.005902;62300;5000;2;10000
dataset0001;4;0.25;7.5;6.0;7.75;7.0;0.25;0.006008;62300;5000;2;10000
dataset0001;5;0.25;5.25;6.0;5.5;7.0;0.25;0.005818;62566;5000;2;10000
dataset0001;1;1.25;1.5;3.5;2.75;4.5;1.25;0.030004;31329;2000;1;2000
dataset0001;2;1.25;2.5;4.5;3.75;5.5;1.25;0.029994;125063;9000;4;36000
dataset0001;3;1.25;3.5;5.5;4.75;6.5;1.25;0.029476;31131;2000;1;2000
dataset0001;4;1.25;4.5;6.5;5.75;7.5;1.25;0.030018;124690;10000;4;40000
dataset0001;5;1.25;5.5;7.5;6.75;8.5;1.25;0.029814;125240;9000;4;36000
dataset0001;1;2.25;1.5;6.0;3.75;7.0;2.25;0.053502;124806;9500;4;38000
dataset0001;2;2.25;6.25;6.0;8.5;7.0;2.25;0.05351;124866;9750;4;39000
dataset0001;3;2.25;4.5;3.5;5.5;5.75;2.25;0.053662;125049;10000;4;40000
dataset0001;4;2.25;4.5;7.25;5.5;9.5;2.25;0.054262;125134;11250;4;45000
dataset0001;5;2.15;3.85;6.0;6.0;7.0;2.15;0.05067;124690;10000;4;40000
