datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests
dataset1;1;1.0;2.0;8.0;3.0;9.0;1.0;0.04208;1658;14880
dataset1;2;1.0;3.0;7.0;4.0;8.0;0.0;0.04282;78;10196
dataset1;3;1.0;4.0;6.0;5.0;7.0;1.0;0.04418;111;15780
dataset1;4;1.0;5.0;5.0;6.0;6.0;4.0;0.04418;121;10318
dataset1;5;1.0;6.0;4.0;7.0;5.0;9.0;0.04266;63;20300
dataset2;1;1.0;6.0;11.5;7.0;12.5;1.0;0.0401;1610;5882
dataset2;2;1.0;7.0;10.5;8.0;11.5;0.0;0.04105;112;6174
dataset2;3;1.0;8.0;9.5;9.0;10.5;1.0;0.0411;109;6275
dataset2;4;1.0;9.0;8.5;10.0;9.5;4.0;0.03855;94;6095
dataset2;5;1.0;10.0;7.5;11.0;8.5;9.0;0.0407;84;8111
dataset3;1;1.0;10.0;8.0;11.0;9.0;1.0;0.031766666666666665;2076;3044
dataset3;2;1.0;11.0;7.0;12.0;8.0;0.0;0.033966666666666666;118;8998
dataset3;3;1.0;12.0;6.0;13.0;7.0;1.0;0.03203333333333333;253;14987
dataset3;4;1.0;13.0;5.0;14.0;6.0;4.0;0.031133333333333332;88;11957
dataset3;5;1.0;14.0;4.0;15.0;5.0;9.0;0.032633333333333334;132;5988
