datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests
dataset1;1;1.0;2.0;8.0;3.0;9.0;1.0;0.042914;2021;85708
dataset1;2;1.0;3.0;7.0;4.0;8.0;0.0;0.043046;129;85348
dataset1;3;1.0;4.0;6.0;5.0;7.0;1.0;0.042872;106;129606
dataset1;4;1.0;5.0;5.0;6.0;6.0;4.0;0.042398;85;83618
dataset1;5;1.0;6.0;4.0;7.0;5.0;9.0;0.04335;55;83282
dataset1;1;0.5;6.5;3.5;7.5;4.0;14.0;0.021538;108;62132
dataset1;2;0.5;6.5;4.5;7.5;5.0;10.5;0.028886;61;83282
dataset1;3;0.5;6.5;5.5;7.5;6.0;7.0;0.02904;46;101236
dataset1;4;0.5;6.5;6.5;7.5;7.0;3.5;0.028496;39;127465
dataset1;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.028856;55;88511
dataset1;1;2.0;2.0;4.0;4.0;5.0;0.0;0.078846;61;101735
dataset1;2;2.0;6.0;4.0;8.0;5.0;9.0;0.07903;47;83282
dataset1;3;2.0;2.0;8.0;4.0;9.0;1.0;0.078256;44;144807
dataset1;4;2.0;6.0;8.0;8.0;9.0;0.0;0.078932;39;125627
dataset1;5;2.0;4.5;5.5;5.5;7.5;0.75;0.071416;66;150044
dataset1;1;1.5;3.5;3.5;4.5;5.0;1.5;0.050528;66;124167
dataset1;2;1.5;3.5;4.5;4.5;6.0;1.0;0.057774;43;166561
dataset1;3;1.5;3.5;5.5;4.5;7.0;0.5;0.056998;56;148751
dataset1;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.056926;36;130124
dataset1;5;1.5;3.5;7.5;4.5;9.0;0.0;0.056792;50;122495
dataset1;1;0.75;2.5;8.75;3.5;9.5;0.125;0.028432;36;100960
dataset1;2;0.75;2.5;7.75;3.5;8.5;0.25;0.03548;37;129017
dataset1;3;0.75;2.5;6.75;3.5;7.5;0.0;0.03568;41;128096
dataset1;4;0.75;2.5;5.75;3.5;6.5;0.0;0.035378;63;105461
dataset1;5;0.75;2.5;4.75;3.5;5.5;0.0;0.035428;37;147136
dataset1;1;1.75;5.5;7.75;6.5;9.5;0.0;0.057374;36;102723
dataset1;2;1.75;5.5;6.75;6.5;8.5;0.0;0.064916;45;125761
dataset1;3;1.75;5.5;5.75;6.5;7.5;1.25;0.06475;34;148143
dataset1;4;1.75;5.5;4.75;6.5;6.5;3.75;0.064462;47;167707
dataset1;5;1.75;5.5;3.75;6.5;5.5;6.25;0.062744;72;163424
dataset1;1;0.25;2.25;6.0;2.5;7.0;0.0;0.01585;38;62681
dataset1;2;0.25;2.5;6.0;2.75;7.0;0.0;0.016218;48;62681
dataset1;3;0.25;7.25;6.0;7.5;7.0;4.25;0.01622;39;85735
dataset1;4;0.25;7.5;6.0;7.75;7.0;4.5;0.01621;37;85735
dataset1;5;0.25;5.25;6.0;5.5;7.0;2.25;0.01622;40;85312
dataset1;1;1.25;1.5;3.5;2.75;4.5;0.0;0.040466;55;41675
dataset1;2;1.25;2.5;4.5;3.75;5.5;0.0;0.051498;47;166018
dataset1;3;1.25;3.5;5.5;4.75;6.5;0.75;0.051712;36;126799
dataset1;4;1.25;4.5;6.5;5.75;7.5;0.75;0.052024;35;150044
dataset1;5;1.25;5.5;7.5;6.75;8.5;0.0;0.052252;33;107245
dataset1;1;2.25;1.5;6.0;3.75;7.0;0.0;0.083986;42;127413
dataset1;2;2.25;6.25;6.0;8.5;7.0;3.25;0.08451;75;148615
dataset1;3;2.25;4.5;3.5;5.5;5.75;3.375;0.071132;39;124844
dataset1;4;2.25;4.5;7.25;5.5;9.5;0.0;0.071084;63;121977
dataset1;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.083978;58;172002
dataset1;1;2.5;1.5;3.5;2.5;6.0;0.0;0.072446;38;104356
dataset1;2;2.5;7.5;3.5;8.5;6.0;9.0;0.071406;41;81360
dataset1;3;2.5;1.5;7.0;2.5;9.5;0.5;0.071344;52;85708
dataset1;4;2.5;7.5;7.0;8.5;9.5;0.0;0.071194;34;100656
dataset1;5;2.5;4.0;6.0;6.5;7.0;1.0;0.096772;44;212875
dataset2;1;1.0;6.0;11.5;7.0;12.5;1.0;0.04024;1813;39694
dataset2;2;1.0;7.0;10.5;8.0;11.5;0.0;0.040875;116;26655
dataset2;3;1.0;8.0;9.5;9.0;10.5;1.0;0.04049;117;82352
dataset2;4;1.0;9.0;8.5;10.0;9.5;4.0;0.04112;59;54868
dataset2;5;1.0;10.0;7.5;11.0;8.5;9.0;0.03947;53;27378
dataset2;1;0.5;10.5;7.0;11.5;7.5;14.0;0.02007;64;26128
dataset2;2;0.5;10.5;8.0;11.5;8.5;10.5;0.0242;54;39905
dataset2;3;0.5;10.5;9.0;11.5;9.5;7.0;0.024825;60;40039
dataset2;4;0.5;10.5;10.0;11.5;10.5;3.5;0.02495;44;52515
dataset2;5;0.5;10.5;11.0;11.5;11.5;-0.0;0.02483;53;26253
dataset2;1;2.0;6.0;7.5;8.0;8.5;0.0;0.07111;79;53754
dataset2;2;2.0;10.0;7.5;12.0;8.5;9.0;0.070705;48;39905
dataset2;3;2.0;6.0;11.5;8.0;12.5;1.0;0.07206;39;39694
dataset2;4;2.0;10.0;11.5;12.0;12.5;0.0;0.07169;45;39789
dataset2;5;2.0;8.5;9.0;9.5;11.0;0.75;0.071715;60;81648
dataset2;1;1.5;7.5;7.0;8.5;8.5;1.5;0.05095;59;41036
dataset2;2;1.5;7.5;8.0;8.5;9.5;1.0;0.05512;37;41036
dataset2;3;1.5;7.5;9.0;8.5;10.5;0.5;0.055515;71;41114
dataset2;4;1.5;7.5;10.0;8.5;11.5;-0.0;0.05621;38;54646
