datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests
dataset0001;1;1.0;2.0;8.0;3.0;9.0;1.0;0.040472;1442;76666
dataset0001;2;1.0;3.0;7.0;4.0;8.0;0.0;0.040238;120;154329
dataset0001;3;1.0;4.0;6.0;5.0;7.0;1.0;0.040204;124;77189
dataset0001;4;1.0;5.0;5.0;6.0;6.0;4.0;0.040358;51;96280
dataset0001;5;1.0;6.0;4.0;7.0;5.0;9.0;0.039686;66;77838
dataset0001;1;0.5;6.5;3.5;7.5;4.0;14.0;0.020078;76;58746
dataset0001;2;0.5;6.5;4.5;7.5;5.0;10.5;0.024494;63;77838
dataset0001;3;0.5;6.5;5.5;7.5;6.0;7.0;0.02461;72;97516
dataset0001;4;0.5;6.5;6.5;7.5;7.0;3.5;0.024696;59;58547
dataset0001;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.024856;58;95440
dataset0001;1;2.0;2.0;4.0;4.0;5.0;0.0;0.070456;68;97201
dataset0001;2;2.0;6.0;4.0;8.0;5.0;9.0;0.070758;62;77838
dataset0001;3;2.0;2.0;8.0;4.0;9.0;1.0;0.071732;60;115360
dataset0001;4;2.0;6.0;8.0;8.0;9.0;0.0;0.07157;41;153021
dataset0001;5;2.0;4.5;5.5;5.5;7.5;0.75;0.070872;48;173846
dataset0001;1;1.5;3.5;3.5;4.5;5.0;1.5;0.050802;62;78647
dataset0001;2;1.5;3.5;4.5;4.5;6.0;1.0;0.055312;36;117504
dataset0001;3;1.5;3.5;5.5;4.5;7.0;0.5;0.055326;69;116835
dataset0001;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.0553;44;116493
dataset0001;5;1.5;3.5;7.5;4.5;9.0;0.0;0.056036;56;96834
dataset0001;1;0.75;2.5;8.75;3.5;9.5;0.125;0.027844;61;38776
dataset0001;2;0.75;2.5;7.75;3.5;8.5;0.25;0.032532;46;76666
dataset0001;3;0.75;2.5;6.75;3.5;7.5;0.0;0.032582;34;76721
dataset0001;4;0.75;2.5;5.75;3.5;6.5;0.0;0.032698;43;78013
dataset0001;5;0.75;2.5;4.75;3.5;5.5;0.0;0.032356;34;77817
dataset0001;1;1.75;5.5;7.75;6.5;9.5;0.0;0.058922;57;133842
dataset0001;2;1.75;5.5;6.75;6.5;8.5;0.0;0.063612;45;152961
dataset0001;3;1.75;5.5;5.75;6.5;7.5;1.25;0.063596;33;155807
dataset0001;4;1.75;5.5;4.75;6.5;6.5;3.75;0.063026;34;136311
dataset0001;5;1.75;5.5;3.75;6.5;5.5;6.25;0.063094;71;115285
dataset0001;1;0.25;2.25;6.0;2.5;7.0;0.0;0.01711;41;95689
dataset0001;2;0.25;2.5;6.0;2.75;7.0;0.0;0.017152;62;95689
dataset0001;3;0.25;7.25;6.0;7.5;7.0;4.25;0.016784;42;38683
dataset0001;4;0.25;7.5;6.0;7.75;7.0;4.5;0.01704;55;57570
dataset0001;5;0.25;5.25;6.0;5.5;7.0;2.25;0.016984;39;76307
dataset0001;1;1.25;1.5;3.5;2.75;4.5;0.0;0.038274;61;77769
dataset0001;2;1.25;2.5;4.5;3.75;5.5;0.0;0.047396;64;116626
dataset0001;3;1.25;3.5;5.5;4.75;6.5;0.75;0.047642;45;97839
dataset0001;4;1.25;4.5;6.5;5.75;7.5;0.75;0.04794;42;134537
dataset0001;5;1.25;5.5;7.5;6.75;8.5;0.0;0.048026;42;133842
dataset0001;1;2.25;1.5;6.0;3.75;7.0;0.0;0.074294;50;134144
dataset0001;2;2.25;6.25;6.0;8.5;7.0;3.25;0.073848;43;77434
dataset0001;3;2.25;4.5;3.5;5.5;5.75;3.375;0.074238;47;135155
dataset0001;4;2.25;4.5;7.25;5.5;9.5;0.0;0.07431;39;151881
dataset0001;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.07599;22;115041
dataset0001;1;2.5;1.5;3.5;2.5;6.0;0.0;0.072926;28;116600
dataset0001;2;2.5;7.5;3.5;8.5;6.0;9.0;0.073012;51;96220
dataset0001;3;2.5;1.5;7.0;2.5;9.5;0.5;0.072276;31;95689
dataset0001;4;2.5;7.5;7.0;8.5;9.5;0.0;0.072672;26;74640
dataset0001;5;2.5;4.0;6.0;6.5;7.0;1.0;0.086662;42;135736
dataset0002;1;1.0;2.0;8.0;3.0;9.0;1.0;0.040206;1510;92774
dataset0002;2;1.0;3.0;7.0;4.0;8.0;0.0;0.04023;204;120188
dataset0002;3;1.0;4.0;6.0;5.0;7.0;1.0;0.040018;160;155114
dataset0002;4;1.0;5.0;5.0;6.0;6.0;4.0;0.04026;87;58900
dataset0002;5;1.0;6.0;4.0;7.0;5.0;9.0;0.04002;55;74465
dataset0002;1;0.5;6.5;3.5;7.5;4.0;14.0;0.020186;67;37978
dataset0002;2;0.5;6.5;4.5;7.5;5.0;10.5;0.024736;42;94689
dataset0002;3;0.5;6.5;5.5;7.5;6.0;7.0;0.02469;89;77322
dataset0002;4;0.5;6.5;6.5;7.5;7.0;3.5;0.024874;57;132702
dataset0002;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.024472;49;97832
dataset0002;1;2.0;2.0;4.0;4.0;5.0;0.0;0.071558;52;150055
dataset0002;2;2.0;6.0;4.0;8.0;5.0;9.0;0.071108;31;113636
dataset0002;3;2.0;2.0;8.0;4.0;9.0;1.0;0.071412;54;112607
dataset0002;4;2.0;6.0;8.0;8.0;9.0;0.0;0.07147;35;116723
dataset0002;5;2.0;4.5;5.5;5.5;7.5;0.75;0.070634;22;193548
dataset0002;1;1.5;3.5;3.5;4.5;5.0;1.5;0.051302;40;75784
dataset0002;2;1.5;3.5;4.5;4.5;6.0;1.0;0.055198;32;95093
dataset0002;3;1.5;3.5;5.5;4.5;7.0;0.5;0.055378;33;134503
dataset0002;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.055672;48;133683
dataset0002;5;1.5;3.5;7.5;4.5;9.0;0.0;0.055462;47;97355
dataset0002;1;0.75;2.5;8.75;3.5;9.5;0.125;0.0282;37;80836
dataset0002;2;0.75;2.5;7.75;3.5;8.5;0.25;0.033112;51;80836
dataset0002;3;0.75;2.5;6.75;3.5;7.5;0.0;0.032654;45;102411
dataset0002;4;0.75;2.5;5.75;3.5;6.5;0.0;0.032296;25;60286
dataset0002;5;0.75;2.5;4.75;3.5;5.5;0.0;0.032194;46;81095
dataset0002;1;1.75;5.5;7.75;6.5;9.5;0.0;0.059262;48;75826
dataset0002;2;1.75;5.5;6.75;6.5;8.5;0.0;0.064144;32;130762
dataset0002;3;1.75;5.5;5.75;6.5;7.5;1.25;0.06365;45;150809
dataset0002;4;1.75;5.5;4.75;6.5;6.5;3.75;0.063332;41;112853
dataset0002;5;1.75;5.5;3.75;6.5;5.5;6.25;0.063216;32;95076
dataset0002;1;0.25;2.25;6.0;2.5;7.0;0.0;0.017092;32;102289
dataset0002;2;0.25;2.5;6.0;2.75;7.0;0.0;0.016968;35;102289
dataset0002;3;0.25;7.25;6.0;7.5;7.0;4.25;0.01677;48;92822
dataset0002;4;0.25;7.5;6.0;7.75;7.0;4.5;0.01679;51;75045
dataset0002;5;0.25;5.25;6.0;5.5;7.0;2.25;0.016804;27;75899
