datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests
dataset02;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0398;2394;4587
dataset02;2;1.0;3.0;7.0;4.0;8.0;0.0;0.04103333333333333;253;5138
dataset02;3;1.0;4.0;6.0;5.0;7.0;1.0;0.03933333333333333;138;6551
dataset02;4;1.0;5.0;5.0;6.0;6.0;4.0;0.03983333333333333;152;5598
dataset02;5;1.0;6.0;4.0;7.0;5.0;9.0;0.038766666666666665;148;3974
dataset02;1;0.5;6.5;3.5;7.5;4.0;14.0;0.0199;151;1962
dataset02;2;0.5;6.5;4.5;7.5;5.0;10.5;0.022533333333333332;168;3974
dataset02;3;0.5;6.5;5.5;7.5;6.0;7.0;0.024833333333333332;93;3993
dataset02;4;0.5;6.5;6.5;7.5;7.0;3.5;0.023266666666666668;103;3858
dataset02;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.024266666666666666;181;4041
dataset02;1;2.0;2.0;4.0;4.0;5.0;0.0;0.0736;102;5598
dataset02;2;2.0;6.0;4.0;8.0;5.0;9.0;0.0682;168;4846
dataset02;3;2.0;2.0;8.0;4.0;9.0;1.0;0.07103333333333334;77;6517
dataset02;4;2.0;6.0;8.0;8.0;9.0;0.0;0.0718;94;5875
dataset02;5;2.0;4.5;5.5;5.5;7.5;0.75;0.07056666666666667;69;8609
dataset02;1;1.5;3.5;3.5;4.5;5.0;1.5;0.0524;157;3703
dataset02;2;1.5;3.5;4.5;4.5;6.0;1.0;0.05533333333333333;76;6698
dataset02;3;1.5;3.5;5.5;4.5;7.0;0.5;0.0561;99;5611
dataset02;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.057666666666666665;66;6751
dataset02;5;1.5;3.5;7.5;4.5;9.0;0.0;0.057133333333333335;112;6927
dataset02;1;0.75;2.5;8.75;3.5;9.5;0.125;0.028433333333333335;115;4587
dataset02;2;0.75;2.5;7.75;3.5;8.5;0.25;0.03183333333333333;153;6686
dataset02;3;0.75;2.5;6.75;3.5;7.5;0.0;0.0313;82;6686
dataset02;4;0.75;2.5;5.75;3.5;6.5;0.0;0.03166666666666667;100;6608
dataset02;5;0.75;2.5;4.75;3.5;5.5;0.0;0.03183333333333333;114;6658
dataset02;1;1.75;5.5;7.75;6.5;9.5;0.0;0.059866666666666665;66;4844
dataset02;2;1.75;5.5;6.75;6.5;8.5;0.0;0.062233333333333335;118;5955
dataset02;3;1.75;5.5;5.75;6.5;7.5;1.25;0.0625;59;7891
dataset02;4;1.75;5.5;4.75;6.5;6.5;3.75;0.0643;106;6768
dataset02;5;1.75;5.5;3.75;6.5;5.5;6.25;0.06386666666666667;164;4891
dataset02;1;0.25;2.25;6.0;2.5;7.0;0.0;0.015633333333333332;87;3629
dataset02;2;0.25;2.5;6.0;2.75;7.0;0.0;0.015866666666666668;72;5617
dataset02;3;0.25;7.25;6.0;7.5;7.0;4.25;0.016866666666666665;116;2951
dataset02;4;0.25;7.5;6.0;7.75;7.0;4.5;0.016233333333333332;102;2951
dataset02;5;0.25;5.25;6.0;5.5;7.0;2.25;0.016033333333333333;145;4568
dataset02;1;1.25;1.5;3.5;2.75;4.5;0.0;0.03963333333333333;73;3599
dataset02;2;1.25;2.5;4.5;3.75;5.5;0.0;0.0474;83;7684
dataset02;3;1.25;3.5;5.5;4.75;6.5;0.75;0.047733333333333336;82;6551
dataset02;4;1.25;4.5;6.5;5.75;7.5;0.75;0.048666666666666664;53;6754
dataset02;5;1.25;5.5;7.5;6.75;8.5;0.0;0.04716666666666667;107;5084
dataset02;1;2.25;1.5;6.0;3.75;7.0;0.0;0.0726;49;6608
dataset02;2;2.25;6.25;6.0;8.5;7.0;3.25;0.0723;83;7597
dataset02;3;2.25;4.5;3.5;5.5;5.75;3.375;0.07376666666666666;96;7598
dataset02;4;2.25;4.5;7.25;5.5;9.5;0.0;0.0758;106;4898
dataset02;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.07613333333333333;75;7547
dataset02;1;2.5;1.5;3.5;2.5;6.0;0.0;0.0765;121;4694
dataset02;2;2.5;7.5;3.5;8.5;6.0;9.0;0.07273333333333333;69;3868
dataset02;3;2.5;1.5;7.0;2.5;9.5;0.5;0.07436666666666666;52;4579
dataset02;4;2.5;7.5;7.0;8.5;9.5;0.0;0.07346666666666667;78;3825
dataset02;5;2.5;4.0;6.0;6.5;7.0;1.0;0.08623333333333333;87;9482
dataset01;1;1.0;2.0;8.0;3.0;9.0;1.0;0.024066666666666667;2112;1762
dataset01;2;1.0;3.0;7.0;4.0;8.0;0.0;0.0232;192;2280
dataset01;3;1.0;4.0;6.0;5.0;7.0;1.0;0.024466666666666668;170;2850
dataset01;4;1.0;5.0;5.0;6.0;6.0;4.0;0.0222;151;2892
dataset01;5;1.0;6.0;4.0;7.0;5.0;9.0;0.024066666666666667;175;2382
dataset01;1;0.5;6.5;3.5;7.5;4.0;14.0;0.011066666666666667;120;1200
dataset01;2;0.5;6.5;4.5;7.5;5.0;10.5;0.011466666666666667;151;2400
dataset01;3;0.5;6.5;5.5;7.5;6.0;7.0;0.0125;107;2400
dataset01;4;0.5;6.5;6.5;7.5;7.0;3.5;0.0122;119;1200
dataset01;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.012266666666666667;176;1800
dataset01;1;2.0;2.0;4.0;4.0;5.0;0.0;0.048433333333333335;137;3480
dataset01;2;2.0;6.0;4.0;8.0;5.0;9.0;0.046733333333333335;86;4782
dataset01;3;2.0;2.0;8.0;4.0;9.0;1.0;0.047233333333333336;148;3502
dataset01;4;2.0;6.0;8.0;8.0;9.0;0.0;0.048233333333333336;138;4200
dataset01;5;2.0;4.5;5.5;5.5;7.5;0.75;0.0467;109;4590
dataset01;1;1.5;3.5;3.5;4.5;5.0;1.5;0.0373;127;1710
dataset01;2;1.5;3.5;4.5;4.5;6.0;1.0;0.03673333333333333;176;3420
dataset01;3;1.5;3.5;5.5;4.5;7.0;0.5;0.0364;107;4560
dataset01;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.03626666666666667;70;3420
dataset01;5;1.5;3.5;7.5;4.5;9.0;0.0;0.0355;212;3480
dataset01;1;0.75;2.5;8.75;3.5;9.5;0.125;0.016966666666666668;178;1800
dataset01;2;0.75;2.5;7.75;3.5;8.5;0.25;0.017666666666666667;127;2332
dataset01;3;0.75;2.5;6.75;3.5;7.5;0.0;0.0185;100;2910
dataset01;4;0.75;2.5;5.75;3.5;6.5;0.0;0.0187;80;2882
dataset01;5;0.75;2.5;4.75;3.5;5.5;0.0;0.0176;108;2882
dataset01;1;1.75;5.5;7.75;6.5;9.5;0.0;0.041833333333333333;89;3600
dataset01;2;1.75;5.5;6.75;6.5;8.5;0.0;0.04223333333333333;146;3570
dataset01;3;1.75;5.5;5.75;6.5;7.5;1.25;0.0408;132;5292
dataset01;4;1.75;5.5;4.75;6.5;6.5;3.75;0.0404;178;4092
dataset01;5;1.75;5.5;3.75;6.5;5.5;6.25;0.0416;91;2952
dataset01;1;0.25;2.25;6.0;2.5;7.0;0.0;0.0056;112;1772
dataset01;2;0.25;2.5;6.0;2.75;7.0;0.0;0.006733333333333333;67;3482
dataset01;3;0.25;7.25;6.0;7.5;7.0;4.25;0.006233333333333333;106;600
dataset01;4;0.25;7.5;6.0;7.75;7.0;4.5;0.006033333333333333;100;600
dataset01;5;0.25;5.25;6.0;5.5;7.0;2.25;0.006;93;2880
dataset01;1;1.25;1.5;3.5;2.75;4.5;0.0;0.0309;112;2370
dataset01;2;1.25;2.5;4.5;3.75;5.5;0.0;0.029533333333333335;95;3452
dataset01;3;1.25;3.5;5.5;4.75;6.5;0.75;0.0297;148;3990
dataset01;4;1.25;4.5;6.5;5.75;7.5;0.75;0.0306;170;2940
dataset01;5;1.25;5.5;7.5;6.75;8.5;0.0;0.0306;75;3000
dataset01;1;2.25;1.5;6.0;3.75;7.0;0.0;0.05483333333333333;110;5822
dataset01;2;2.25;6.25;6.0;8.5;7.0;3.25;0.053533333333333336;106;2394
dataset01;3;2.25;4.5;3.5;5.5;5.75;3.375;0.052566666666666664;53;3990
dataset01;4;2.25;4.5;7.25;5.5;9.5;0.0;0.0537;108;2940
dataset01;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.05106666666666667;95;5190
dataset01;1;2.5;1.5;3.5;2.5;6.0;0.0;0.06066666666666667;123;2372
dataset01;2;2.5;7.5;3.5;8.5;6.0;9.0;0.05843333333333333;70;3594
dataset01;3;2.5;1.5;7.0;2.5;9.5;0.5;0.057466666666666666;58;2992
dataset01;4;2.5;7.5;7.0;8.5;9.5;0.0;0.0591;46;4194
dataset01;5;2.5;4.0;6.0;6.5;7.0;1.0;0.05923333333333333;99;5220
