datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;mbrTests;executionTime
dataset0001;1;1.0;2.0;8.0;3.0;9.0;1.0;0.023674;31098;3169
dataset0001;2;1.0;3.0;7.0;4.0;8.0;1.0;0.023648;124702;10258
dataset0001;3;1.0;4.0;6.0;5.0;7.0;1.0;0.023458;124690;9545
dataset0001;4;1.0;5.0;5.0;6.0;6.0;1.0;0.023782;62735;4741
dataset0001;5;1.0;6.0;4.0;7.0;5.0;1.0;0.023752;62512;4910
dataset0001;1;0.5;6.5;3.5;7.5;4.0;0.5;0.011756;62512;4622
dataset0001;2;0.5;6.5;4.5;7.5;5.0;0.5;0.011804;62512;4720
dataset0001;3;0.5;6.5;5.5;7.5;6.0;0.5;0.011738;62467;4642
dataset0001;4;0.5;6.5;6.5;7.5;7.0;0.5;0.0119;124866;9593
dataset0001;5;0.5;6.5;7.5;7.5;8.0;0.5;0.011886;125240;10016
dataset0001;1;2.0;2.0;4.0;4.0;5.0;2.0;0.047608;62512;4833
dataset0001;2;2.0;6.0;4.0;8.0;5.0;2.0;0.04728;62512;4673
dataset0001;3;2.0;2.0;8.0;4.0;9.0;2.0;0.047496;62447;4968
dataset0001;4;2.0;6.0;8.0;8.0;9.0;2.0;0.04769;62841;4828
dataset0001;5;2.0;4.5;5.5;5.5;7.5;2.0;0.047944;124690;9681
dataset0001;1;1.5;3.5;3.5;4.5;5.0;1.5;0.035616;31183;2424
dataset0001;2;1.5;3.5;4.5;4.5;6.0;1.5;0.035898;62314;4847
dataset0001;3;1.5;3.5;5.5;4.5;7.0;1.5;0.035224;62124;4736
dataset0001;4;1.5;3.5;6.5;4.5;8.0;1.5;0.03543;93473;7676
dataset0001;5;1.5;3.5;7.5;4.5;9.0;1.5;0.035604;62342;4973
dataset0001;1;0.75;2.5;8.75;3.5;9.5;0.75;0.0178;62447;4785
dataset0001;2;0.75;2.5;7.75;3.5;8.5;0.75;0.017936;124702;9591
dataset0001;3;0.75;2.5;6.75;3.5;7.5;0.75;0.01795;62255;5348
dataset0001;4;0.75;2.5;5.75;3.5;6.5;0.75;0.017792;62551;4826
dataset0001;5;0.75;2.5;4.75;3.5;5.5;0.75;0.018004;125063;10001
dataset0001;1;1.75;5.5;7.75;6.5;9.5;1.75;0.041728;62792;4836
dataset0001;2;1.75;5.5;6.75;6.5;8.5;1.75;0.041678;62792;4804
dataset0001;3;1.75;5.5;5.75;6.5;7.5;1.75;0.041628;62566;4723
dataset0001;4;1.75;5.5;4.75;6.5;6.5;1.75;0.04171;62735;4768
