datasetName;distribution;geometry;x1;y1;x2;y2;num_features;max_seg;num_points;avg_area;avg_side_length_0;avg_side_length_1;E0;E2
dataset2_rotated_270_9;uniform;box;1.9453944919636463;2.9533098343787265;8.054605508036353;10.046690165621271;500000.0;4;;0.1;0.3;0.3;;
dataset3_rotated_271_4;uniform;box;1.9153829071221675;2.927748251307902;8.084617092877833;10.072251748692098;500000.0;5;;0.1;0.3;0.3;;
dataset3_rotated_270_5;uniform;box;1.9695713565631765;2.9739536627802785;8.030428643436824;10.02604633721972;500000.0;5;;0.1;0.3;0.3;;
dataset1_noise_1;uniform;box;1.5;3.5;8.5;9.5;790274.0;3;;0.1;0.3;0.3;;
dataset1_noise_2;uniform;box;1.5;3.5;8.5;9.5;1062588.0;3;;0.1;0.3;0.3;;
dataset2_rotated_178_7;uniform;box;1.4328388666522116;3.42136650452717;8.567161133347788;9.578633495472827;500000.0;4;;0.1;0.3;0.3;;
dataset1_rotated_182_9;uniform;box;1.3527034296252087;3.326766638178945;8.647296570374792;9.673233361821056;735549.0;3;;0.1;0.3;0.3;;
dataset3_noise_1;uniform;box;1.5;3.5;8.5;9.5;682125.0;5;;0.1;0.3;0.3;;
dataset1_rotated_88_3;uniform;box;1.8974885653439608;2.912541757326824;8.102511434656039;10.087458242673176;500000.0;3;;0.1;0.3;0.3;;
dataset3_noise_2;uniform;box;1.5;3.5;8.5;9.5;629834.0;5;;0.1;0.3;0.3;;
dataset1_rotated_182_4;uniform;box;1.377443133466397;3.3560667216512265;8.622556866533603;9.643933278348774;616359.0;3;;0.1;0.3;0.3;;
dataset3_rotated_178_2;uniform;box;1.4074947614855535;3.391542662129355;8.592505238514446;9.608457337870645;500000.0;5;;0.1;0.3;0.3;;
dataset1_rotated_90_1;uniform;box;1.9938959199794928;2.9947693457057984;8.006104080020506;10.005230654294202;512234.0;3;;0.1;0.3;0.3;;
dataset1_rotated_271_8;uniform;box;1.8915426621293547;2.907494761485553;8.108457337870645;10.092505238514446;500000.0;3;;0.1;0.3;0.3;;
dataset2_rotated_271_7;uniform;box;1.8974885653439613;2.9125417573268244;8.102511434656039;10.087458242673176;500000.0;4;;0.1;0.3;0.3;;
dataset1_rotated_182_2;uniform;box;1.3874163653002665;3.367853918961817;8.612583634699734;9.632146081038185;500000.0;3;;0.1;0.3;0.3;;
dataset3_rotated_270_6;uniform;box;1.963513247496603;2.96877655487197;8.036486752503397;10.031223445128033;500000.0;5;;0.1;0.3;0.3;;
dataset1_rotated_270_1;uniform;box;1.9938959199794903;2.994769345705796;8.00610408002051;10.005230654294204;500000.0;3;;0.1;0.3;0.3;;
dataset2_rotated_271_5;uniform;box;1.909408705995772;2.9226685176619305;8.090591294004227;10.077331482338067;500000.0;4;;0.1;0.3;0.3;;
dataset3_noise_3;uniform;box;1.5;3.5;8.5;9.5;514921.0;5;;0.1;0.3;0.3;;
dataset1_rotated_268_1;uniform;box;1.885606227814887;2.9024587090382714;8.114393772185114;10.097541290961727;500000.0;3;;0.1;0.3;0.3;;
dataset3_rotated_268_3;uniform;box;1.89748856534396;2.9125417573268235;8.10251143465604;10.087458242673176;500000.0;5;;0.1;0.3;0.3;;
dataset2_rotated_182_4;uniform;box;1.377443133466397;3.3560667216512265;8.622556866533603;9.643933278348774;500000.0;4;;0.1;0.3;0.3;;
dataset2_rotated_91_0;uniform;box;1.9393734920003336;2.94817584764078;8.060626507999666;10.05182415235922;500000.0;4;;0.1;0.3;0.3;;
dataset1_rotated_92_6;uniform;box;1.8443178321754683;2.8675140413447378;8.155682167824532;10.132485958655263;500000.0;3;;0.1;0.3;0.3;;
