datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests;mbrTests_class
dataset1;1;1.0;2.0;8.0;3.0;9.0;1.0;0.040254;1118;77880;74382.0000000000-111573.0000000000
dataset1;2;1.0;3.0;7.0;4.0;8.0;0.0;0.040014;70;96637;74382.0000000000-111573.0000000000
dataset1;3;1.0;4.0;6.0;5.0;7.0;1.0;0.040588;61;115965;111573.0000000000-148764.0000000000
dataset1;4;1.0;5.0;5.0;6.0;6.0;4.0;0.040008;52;94445;74382.0000000000-111573.0000000000
dataset1;5;1.0;6.0;4.0;7.0;5.0;9.0;0.039562;54;114963;111573.0000000000-148764.0000000000
dataset1;1;0.5;6.5;3.5;7.5;4.0;14.0;0.020076;42;37433;37191.0000000000-74382.0000000000
dataset1;2;0.5;6.5;4.5;7.5;5.0;10.5;0.024434;40;95403;74382.0000000000-111573.0000000000
dataset1;3;0.5;6.5;5.5;7.5;6.0;7.0;0.024994;49;57970;37191.0000000000-74382.0000000000
dataset1;4;0.5;6.5;6.5;7.5;7.0;3.5;0.024796;39;94844;74382.0000000000-111573.0000000000
dataset1;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.024968;42;96437;74382.0000000000-111573.0000000000
dataset1;1;2.0;2.0;4.0;4.0;5.0;0.0;0.070786;64;95920;74382.0000000000-111573.0000000000
dataset1;2;2.0;6.0;4.0;8.0;5.0;9.0;0.07064;34;134217;111573.0000000000-148764.0000000000
dataset1;3;2.0;2.0;8.0;4.0;9.0;1.0;0.07144;37;97328;74382.0000000000-111573.0000000000
dataset1;4;2.0;6.0;8.0;8.0;9.0;0.0;0.071152;43;136018;111573.0000000000-148764.0000000000
dataset1;5;2.0;4.5;5.5;5.5;7.5;0.75;0.071608;38;153362;148764.0000000000-185955.0000000000
dataset1;1;1.5;3.5;3.5;4.5;5.0;1.5;0.050762;34;95842;74382.0000000000-111573.0000000000
dataset1;2;1.5;3.5;4.5;4.5;6.0;1.0;0.055668;39;132359;111573.0000000000-148764.0000000000
dataset1;3;1.5;3.5;5.5;4.5;7.0;0.5;0.055718;37;133600;111573.0000000000-148764.0000000000
dataset1;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.055824;36;115186;111573.0000000000-148764.0000000000
dataset1;5;1.5;3.5;7.5;4.5;9.0;0.0;0.055614;38;95863;74382.0000000000-111573.0000000000
dataset1;1;0.75;2.5;8.75;3.5;9.5;0.125;0.028376;34;59862;37191.0000000000-74382.0000000000
dataset1;2;0.75;2.5;7.75;3.5;8.5;0.25;0.032572;34;59862;37191.0000000000-74382.0000000000
dataset1;3;0.75;2.5;6.75;3.5;7.5;0.0;0.03217;40;59528;37191.0000000000-74382.0000000000
dataset1;4;0.75;2.5;5.75;3.5;6.5;0.0;0.032198;32;59784;37191.0000000000-74382.0000000000
dataset1;5;0.75;2.5;4.75;3.5;5.5;0.0;0.032502;32;40928;37191.0000000000-74382.0000000000
dataset1;1;1.75;5.5;7.75;6.5;9.5;0.0;0.058786;33;98466;74382.0000000000-111573.0000000000
dataset1;2;1.75;5.5;6.75;6.5;8.5;0.0;0.063806;45;137182;111573.0000000000-148764.0000000000
dataset1;3;1.75;5.5;5.75;6.5;7.5;1.25;0.063688;32;156839;148764.0000000000-185955.0000000000
dataset1;4;1.75;5.5;4.75;6.5;6.5;3.75;0.063444;35;134197;111573.0000000000-148764.0000000000
dataset1;5;1.75;5.5;3.75;6.5;5.5;6.25;0.062578;31;96269;74382.0000000000-111573.0000000000
dataset1;1;0.25;2.25;6.0;2.5;7.0;0.0;0.016946;35;96387;74382.0000000000-111573.0000000000
dataset1;2;0.25;2.5;6.0;2.75;7.0;0.0;0.016974;37;100456;74382.0000000000-111573.0000000000
dataset1;3;0.25;7.25;6.0;7.5;7.0;4.25;0.016928;41;75613;74382.0000000000-111573.0000000000
dataset1;4;0.25;7.5;6.0;7.75;7.0;4.5;0.017074;30;75613;74382.0000000000-111573.0000000000
dataset1;5;0.25;5.25;6.0;5.5;7.0;2.25;0.017046;41;58401;37191.0000000000-74382.0000000000
dataset1;1;1.25;1.5;3.5;2.75;4.5;0.0;0.03786;35;78285;74382.0000000000-111573.0000000000
dataset1;2;1.25;2.5;4.5;3.75;5.5;0.0;0.048042;37;95390;74382.0000000000-111573.0000000000
dataset1;3;1.25;3.5;5.5;4.75;6.5;0.75;0.047888;34;113549;111573.0000000000-148764.0000000000
dataset1;4;1.25;4.5;6.5;5.75;7.5;0.75;0.048612;31;154142;148764.0000000000-185955.0000000000
dataset1;5;1.25;5.5;7.5;6.75;8.5;0.0;0.048352;38;98466;74382.0000000000-111573.0000000000
dataset1;1;2.25;1.5;6.0;3.75;7.0;0.0;0.07435;31;154326;148764.0000000000-185955.0000000000
dataset1;2;2.25;6.25;6.0;8.5;7.0;3.25;0.074792;31;94844;74382.0000000000-111573.0000000000
dataset1;3;2.25;4.5;3.5;5.5;5.75;3.375;0.073508;45;112080;111573.0000000000-148764.0000000000
dataset1;4;2.25;4.5;7.25;5.5;9.5;0.0;0.07356;33;96839;74382.0000000000-111573.0000000000
dataset1;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.076234;34;153611;148764.0000000000-185955.0000000000
dataset1;1;2.5;1.5;3.5;2.5;6.0;0.0;0.072272;42;76914;74382.0000000000-111573.0000000000
dataset1;2;2.5;7.5;3.5;8.5;6.0;9.0;0.072964;30;57433;37191.0000000000-74382.0000000000
dataset1;3;2.5;1.5;7.0;2.5;9.5;0.5;0.07315;31;76685;74382.0000000000-111573.0000000000
dataset1;4;2.5;7.5;7.0;8.5;9.5;0.0;0.072602;35;76288;74382.0000000000-111573.0000000000
dataset1;5;2.5;4.0;6.0;6.5;7.0;1.0;0.087366;33;173096;148764.0000000000-185955.0000000000
dataset2;1;1.0;2.0;8.0;3.0;9.0;1.0;0.040378;1204;58769;37191.0000000000-74382.0000000000
dataset2;2;1.0;3.0;7.0;4.0;8.0;0.0;0.040722;67;160689;148764.0000000000-185955.0000000000
dataset2;3;1.0;4.0;6.0;5.0;7.0;1.0;0.039732;69;140172;111573.0000000000-148764.0000000000
dataset2;4;1.0;5.0;5.0;6.0;6.0;4.0;0.040564;57;102576;74382.0000000000-111573.0000000000
dataset2;5;1.0;6.0;4.0;7.0;5.0;9.0;0.040156;60;80686;74382.0000000000-111573.0000000000
dataset2;1;0.5;6.5;3.5;7.5;4.0;14.0;0.019778;41;39300;37191.0000000000-74382.0000000000
