datasetName;distribution;geometry;x1;y1;x2;y2;num_features;max_seg;num_points;avg_area;avg_side_length_0;avg_side_length_1;E0;E2
dataset0001;uniform;box;1.5;3.5;8.5;9.5;500000;3;;0.1;0.3;0.3;;
dataset0002;uniform;box;1.5;3.5;8.5;9.5;500000;4;;0.1;0.3;0.3;;
dataset0001_noise_1;uniform;box;1.5;3.5;8.5;9.5;570929;3;;0.1;0.3;0.3;;
dataset0001_noise_2;uniform;box;1.5;3.5;8.5;9.5;566811;3;;0.1;0.3;0.3;;
dataset0001_noise_3;uniform;box;1.5;3.5;8.5;9.5;551843;3;;0.1;0.3;0.3;;
dataset0001_noise_4;uniform;box;1.5;3.5;8.5;9.5;510504;3;;0.1;0.3;0.3;;
dataset0001_noise_5;uniform;box;1.5;3.5;8.5;9.5;558215;3;;0.1;0.3;0.3;;
dataset0001_noise_6;uniform;box;1.5;3.5;8.5;9.5;509045;3;;0.1;0.3;0.3;;
dataset0001_noise_7;uniform;box;1.5;3.5;8.5;9.5;574841;3;;0.1;0.3;0.3;;
dataset0001_noise_8;uniform;box;1.5;3.5;8.5;9.5;573984;3;;0.1;0.3;0.3;;
dataset0001_noise_9;uniform;box;1.5;3.5;8.5;9.5;540176;3;;0.1;0.3;0.3;;
dataset0001_noise_10;uniform;box;1.5;3.5;8.5;9.5;514310;3;;0.1;0.3;0.3;;
dataset0001_noise_11;uniform;box;1.5;3.5;8.5;9.5;565082;3;;0.1;0.3;0.3;;
dataset0001_noise_12;uniform;box;1.5;3.5;8.5;9.5;509306;3;;0.1;0.3;0.3;;
dataset0001_noise_13;uniform;box;1.5;3.5;8.5;9.5;543955;3;;0.1;0.3;0.3;;
dataset0001_noise_14;uniform;box;1.5;3.5;8.5;9.5;545631;3;;0.1;0.3;0.3;;
dataset0001_noise_15;uniform;box;1.5;3.5;8.5;9.5;549479;3;;0.1;0.3;0.3;;
dataset0001_noise_16;uniform;box;1.5;3.5;8.5;9.5;552641;3;;0.1;0.3;0.3;;
dataset0001_noise_17;uniform;box;1.5;3.5;8.5;9.5;547413;3;;0.1;0.3;0.3;;
dataset0001_noise_18;uniform;box;1.5;3.5;8.5;9.5;524530;3;;0.1;0.3;0.3;;
dataset0001_noise_19;uniform;box;1.5;3.5;8.5;9.5;537200;3;;0.1;0.3;0.3;;
dataset0001_noise_20;uniform;box;1.5;3.5;8.5;9.5;540600;3;;0.1;0.3;0.3;;
dataset0001_noise_21;uniform;box;1.5;3.5;8.5;9.5;572548;3;;0.1;0.3;0.3;;
dataset0001_noise_22;uniform;box;1.5;3.5;8.5;9.5;550591;3;;0.1;0.3;0.3;;
