datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests;cardinality_class
dataset0001;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0235666666666666;1629;3834;0.0212207100-0.0282942800
dataset0001;2;1.0;3.0;7.0;4.0;8.0;0.0;0.0242666666666666;140;7004;0.0212207100-0.0282942800
dataset0001;3;1.0;4.0;6.0;5.0;7.0;1.0;0.0241333333333333;194;5709;0.0212207100-0.0282942800
dataset0001;4;1.0;5.0;5.0;6.0;6.0;4.0;0.0228666666666666;186;6783;0.0212207100-0.0282942800
dataset0001;5;1.0;6.0;4.0;7.0;5.0;9.0;0.0237;67;5894;0.0212207100-0.0282942800
dataset0001;1;0.5;6.5;3.5;7.5;4.0;14.0;0.0120333333333333;115;2928;0.0070735700-0.0141471400
dataset0001;2;0.5;6.5;4.5;7.5;5.0;10.5;0.0120333333333333;92;3033;0.0070735700-0.0141471400
dataset0001;3;0.5;6.5;5.5;7.5;6.0;7.0;0.0126666666666666;43;3912;0.0070735700-0.0141471400
dataset0001;4;0.5;6.5;6.5;7.5;7.0;3.5;0.011;50;2904;0.0070735700-0.0141471400
dataset0001;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.0123333333333333;86;4920;0.0070735700-0.0141471400
dataset0001;1;2.0;2.0;4.0;4.0;5.0;0.0;0.0504333333333333;36;6677;0.0495149800-0.0565885500
dataset0001;2;2.0;6.0;4.0;8.0;5.0;9.0;0.0474;151;6919;0.0424414100-0.0495149800
dataset0001;3;2.0;2.0;8.0;4.0;9.0;1.0;0.0444666666666666;49;5868;0.0424414100-0.0495149800
dataset0001;4;2.0;6.0;8.0;8.0;9.0;0.0;0.0467666666666666;46;7504;0.0424414100-0.0495149800
dataset0001;5;2.0;4.5;5.5;5.5;7.5;0.75;0.0472333333333333;177;6738;0.0424414100-0.0495149800
dataset0001;1;1.5;3.5;3.5;4.5;5.0;1.5;0.0384333333333333;64;5706;0.0353678500-0.0424414100
dataset0001;2;1.5;3.5;4.5;4.5;6.0;1.0;0.0367;84;8744;0.0353678500-0.0424414100
dataset0001;3;1.5;3.5;5.5;4.5;7.0;0.5;0.0364;67;6706;0.0353678500-0.0424414100
dataset0001;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.0382666666666666;38;7645;0.0353678500-0.0424414100
dataset0001;5;1.5;3.5;7.5;4.5;9.0;0.0;0.0349;85;5844;0.0282942800-0.0353678500
dataset0001;1;0.75;2.5;8.75;3.5;9.5;0.125;0.0127;89;3860;0.0070735700-0.0141471400
