datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests;cardinality_class
dataset02;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0398;2394;4587;0.0344933300-0.0431166700
dataset02;2;1.0;3.0;7.0;4.0;8.0;0.0;0.0410333333333333;253;5138;0.0344933300-0.0431166700
dataset02;3;1.0;4.0;6.0;5.0;7.0;1.0;0.0393333333333333;138;6551;0.0344933300-0.0431166700
dataset02;4;1.0;5.0;5.0;6.0;6.0;4.0;0.0398333333333333;152;5598;0.0344933300-0.0431166700
dataset02;5;1.0;6.0;4.0;7.0;5.0;9.0;0.0387666666666666;148;3974;0.0344933300-0.0431166700
dataset02;1;0.5;6.5;3.5;7.5;4.0;14.0;0.0199;151;1962;0.0172466700-0.0258700000
dataset02;2;0.5;6.5;4.5;7.5;5.0;10.5;0.0225333333333333;168;3974;0.0172466700-0.0258700000
dataset02;3;0.5;6.5;5.5;7.5;6.0;7.0;0.0248333333333333;93;3993;0.0172466700-0.0258700000
dataset02;4;0.5;6.5;6.5;7.5;7.0;3.5;0.0232666666666666;103;3858;0.0172466700-0.0258700000
dataset02;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.0242666666666666;181;4041;0.0172466700-0.0258700000
dataset02;1;2.0;2.0;4.0;4.0;5.0;0.0;0.0736;102;5598;0.0689866700-0.0776100000
dataset02;2;2.0;6.0;4.0;8.0;5.0;9.0;0.0682;168;4846;0.0603633300-0.0689866700
dataset02;3;2.0;2.0;8.0;4.0;9.0;1.0;0.0710333333333333;77;6517;0.0689866700-0.0776100000
dataset02;4;2.0;6.0;8.0;8.0;9.0;0.0;0.0718;94;5875;0.0689866700-0.0776100000
dataset02;5;2.0;4.5;5.5;5.5;7.5;0.75;0.0705666666666666;69;8609;0.0689866700-0.0776100000
dataset02;1;1.5;3.5;3.5;4.5;5.0;1.5;0.0524;157;3703;0.0517400000-0.0603633300
